variable,coefficient,classical_OLS_SE,t_stat,p_value,stars,N,R_squared,adjusted_R_squared,df_resid,controls_included,fixed_effects_included,classifier_limitation
intercept,3.523924,0.030037,117.319924,0.000000,***,3769,0.112825,0.112354,3766,false,false,classifier-predicted aggressive labels from the current domain-adapted classifier; preliminary diagnostic evidence only; aggressive/type classifier leakage risk and NOT_A_CANDIDATE limitations remain; not robust or causal evidence
aggressive_intensity,10.220228,0.554251,18.439716,0.000000,***,3769,0.112825,0.112354,3766,false,false,classifier-predicted aggressive labels from the current domain-adapted classifier; preliminary diagnostic evidence only; aggressive/type classifier leakage risk and NOT_A_CANDIDATE limitations remain; not robust or causal evidence
aggressive_intensity_sq,-8.428199,0.889309,-9.477249,0.000000,***,3769,0.112825,0.112354,3766,false,false,classifier-predicted aggressive labels from the current domain-adapted classifier; preliminary diagnostic evidence only; aggressive/type classifier leakage risk and NOT_A_CANDIDATE limitations remain; not robust or causal evidence
