company_name,quarter,post_count,aggressive_count,aggressive_intensity,aggressive_intensity_sq,mean_log1p_engagement
Johnson & Johnson,2024-Q1,2,0,0.0,0.0,2.904071
Caterpillar,2021-Q4,5,1,0.2,0.04,2.871409
Kroger,2021-Q3,2,0,0.0,0.0,4.414173
Exxon Mobil,2022-Q4,3,0,0.0,0.0,3.161544
Chevron,2025-Q4,1,0,0.0,0.0,3.496508
HP,2024-Q1,6,0,0.0,0.0,6.178822
Albertsons,2020-Q3,3,0,0.0,0.0,2.074192
Tyson Foods,2019-Q2,7,0,0.0,0.0,1.806275
AbbVie,2025-Q3,4,0,0.0,0.0,0.486478
Charter Communications,2026-Q1,1,0,0.0,0.0,1.386294
American Express,2021-Q4,4,0,0.0,0.0,3.932387
General Dynamics,2022-Q2,13,0,0.0,0.0,1.530366
CVS Health,2022-Q4,1,0,0.0,0.0,2.995732
Walt Disney,2025-Q2,16,1,0.0625,0.00390625,8.512671
Nationwide,2026-Q1,2,0,0.0,0.0,4.574232
Nvidia,2026-Q2,14,0,0.0,0.0,6.521658
Dell Technologies,2025-Q2,2,0,0.0,0.0,6.150011
Humana,2022-Q4,13,0,0.0,0.0,1.188103
Ford Motor,2022-Q4,4,0,0.0,0.0,5.358075
Cigna Group,2022-Q2,4,0,0.0,0.0,1.919466
Bristol-Myers Squibb,2022-Q4,2,0,0.0,0.0,1.935601
HCA Healthcare,2024-Q2,2,0,0.0,0.0,1.386294
American Express,2022-Q2,4,0,0.0,0.0,3.551618
Walmart,2024-Q3,6,1,0.166666666667,0.027777777778,4.21778
Marathon Petroleum,2025-Q4,2,0,0.0,0.0,2.124248
USAA,2023-Q2,10,0,0.0,0.0,6.0797
Sysco,2022-Q3,5,0,0.0,0.0,1.45448
USAA,2022-Q2,4,0,0.0,0.0,4.627886
Albertsons,2021-Q3,6,1,0.166666666667,0.027777777778,2.457104
Lowe's,2022-Q3,4,0,0.0,0.0,3.593987
AT&T,2024-Q4,2,0,0.0,0.0,4.374153
Uber Technologies,2025-Q4,2,0,0.0,0.0,3.564649
Microsoft,2025-Q4,7,0,0.0,0.0,6.729215
Comcast,2025-Q1,6,0,0.0,0.0,4.993663
Cisco Systems,2025-Q4,5,1,0.2,0.04,3.111459
Amazon,2026-Q1,6,0,0.0,0.0,6.192978
Walt Disney,2025-Q3,11,0,0.0,0.0,7.702124
Bank of America,2023-Q1,7,1,0.142857142857,0.020408163265,3.482245
Prudential Financial,2019-Q4,2,0,0.0,0.0,1.935601
Ford Motor,2023-Q3,2,0,0.0,0.0,3.682906
Energy Transfer,2025-Q2,2,0,0.0,0.0,1.791759
AT&T,2025-Q1,5,0,0.0,0.0,3.703361
Cigna Group,2023-Q2,5,0,0.0,0.0,0.635611
Massachusetts Mutual Life,2021-Q2,7,1,0.142857142857,0.020408163265,1.263002
Sysco,2025-Q2,1,0,0.0,0.0,2.484907
Archer Daniels Midland,2023-Q4,2,0,0.0,0.0,2.012676
Kroger,2019-Q4,1,0,0.0,0.0,1.386294
Archer Daniels Midland,2021-Q4,5,0,0.0,0.0,2.64691
Target,2020-Q3,6,3,0.5,0.25,8.995762
Fannie Mae,2025-Q3,1,0,0.0,0.0,1.791759
Publix Super Markets,2023-Q2,5,0,0.0,0.0,5.453666
Johnson & Johnson,2020-Q4,7,0,0.0,0.0,2.992443
Cencora,2023-Q2,1,0,0.0,0.0,2.197225
Delta Air Lines,2024-Q3,3,0,0.0,0.0,5.282895
Alphabet,2026-Q2,23,1,0.04347826087,0.001890359168,6.938859
Nike,2026-Q2,7,0,0.0,0.0,7.576669
Amazon,2023-Q3,6,0,0.0,0.0,3.908538
Bristol-Myers Squibb,2022-Q2,9,0,0.0,0.0,2.785351
Energy Transfer,2025-Q4,7,0,0.0,0.0,1.655698
Kroger,2022-Q3,2,0,0.0,0.0,3.496049
American Airlines Group,2024-Q4,2,0,0.0,0.0,5.273591
Chevron,2025-Q3,3,0,0.0,0.0,4.883046
Caterpillar,2022-Q3,2,0,0.0,0.0,3.594962
JPMorgan Chase,2022-Q4,1,0,0.0,0.0,3.433987
Boeing,2023-Q2,2,0,0.0,0.0,5.280608
Capital One Financial,2023-Q2,2,0,0.0,0.0,5.22212
United Airlines Holdings,2024-Q1,4,0,0.0,0.0,7.541873
Meta Platforms,2023-Q4,1,0,0.0,0.0,5.147494
FedEx,2023-Q1,4,0,0.0,0.0,4.256963
Eli Lilly,2021-Q4,1,0,0.0,0.0,1.791759
AbbVie,2023-Q3,5,0,0.0,0.0,0.818869
Comcast,2026-Q1,5,0,0.0,0.0,3.008244
Energy Transfer,2026-Q1,4,0,0.0,0.0,2.142921
Procter & Gamble,2023-Q2,1,0,0.0,0.0,3.135494
Nationwide,2024-Q2,5,0,0.0,0.0,4.92554
Travelers,2022-Q4,4,0,0.0,0.0,0.9678
UnitedHealth Group,2023-Q2,1,0,0.0,0.0,2.772589
Morgan Stanley,2026-Q2,4,0,0.0,0.0,4.609319
Home Depot,2017-Q1,18,0,0.0,0.0,0.0
FedEx,2022-Q3,4,0,0.0,0.0,4.825099
Massachusetts Mutual Life,2019-Q4,7,1,0.142857142857,0.020408163265,1.195858
Allstate,2023-Q3,1,0,0.0,0.0,3.091042
Allstate,2022-Q3,1,0,0.0,0.0,3.970292
Archer Daniels Midland,2022-Q3,4,0,0.0,0.0,1.893126
General Dynamics,2024-Q2,1,0,0.0,0.0,2.484907
Kroger,2021-Q4,3,0,0.0,0.0,3.098533
Elevance Health,2021-Q4,3,0,0.0,0.0,1.133732
Nationwide,2024-Q4,1,0,0.0,0.0,4.718499
Lowe's,2021-Q1,6,1,0.166666666667,0.027777777778,3.864924
RTX,2026-Q2,1,0,0.0,0.0,1.609438
Uber Technologies,2026-Q1,4,0,0.0,0.0,7.320288
Travelers,2022-Q2,3,0,0.0,0.0,2.665439
Charter Communications,2026-Q2,2,0,0.0,0.0,4.792604
Tyson Foods,2019-Q1,1,0,0.0,0.0,1.609438
JPMorgan Chase,2023-Q2,1,0,0.0,0.0,4.442651
Cardinal Health,2023-Q4,3,0,0.0,0.0,2.274791
Valero Energy,2023-Q3,1,0,0.0,0.0,2.639057
Target,2020-Q4,4,2,0.5,0.25,7.471696
Marathon Petroleum,2026-Q1,3,0,0.0,0.0,1.997155
Uber Technologies,2024-Q3,6,0,0.0,0.0,5.361906
Lockheed Martin,2025-Q2,8,0,0.0,0.0,5.790178
Charter Communications,2022-Q2,1,0,0.0,0.0,1.386294
Ford Motor,2024-Q1,1,0,0.0,0.0,6.177944
Dell Technologies,2025-Q4,4,0,0.0,0.0,3.909495
Target,2021-Q2,5,0,0.0,0.0,8.198875
Elevance Health,2021-Q2,5,0,0.0,0.0,2.202014
Massachusetts Mutual Life,2020-Q3,3,0,0.0,0.0,0.963457
HCA Healthcare,2024-Q4,6,0,0.0,0.0,1.53499
FedEx,2023-Q3,2,0,0.0,0.0,3.700616
Amazon,2023-Q4,3,0,0.0,0.0,5.044882
American Airlines Group,2025-Q3,1,0,0.0,0.0,6.4708
Exxon Mobil,2020-Q2,3,0,0.0,0.0,5.133497
TJX,2016-Q2,7,0,0.0,0.0,1.007036
Bristol-Myers Squibb,2023-Q1,3,0,0.0,0.0,2.029682
Lockheed Martin,2025-Q3,4,0,0.0,0.0,7.206154
Liberty Mutual Insurance Group,2023-Q2,2,1,0.5,0.25,2.74032
Intel,2025-Q4,2,0,0.0,0.0,5.155842
Goldman Sachs Group,2025-Q4,4,0,0.0,0.0,4.642654
Exxon Mobil,2019-Q4,2,0,0.0,0.0,5.328629
Nationwide,2022-Q3,1,1,1.0,1.0,5.365976
TJX,2016-Q1,5,0,0.0,0.0,0.138629
Chevron,2026-Q1,2,0,0.0,0.0,3.086893
JPMorgan Chase,2021-Q2,5,0,0.0,0.0,3.869309
Archer Daniels Midland,2022-Q2,1,0,0.0,0.0,5.777652
Nationwide,2022-Q4,7,0,0.0,0.0,2.956843
Microsoft,2025-Q1,7,0,0.0,0.0,6.961246
Nike,2025-Q2,4,1,0.25,0.0625,8.575284
Eli Lilly,2022-Q1,1,0,0.0,0.0,3.688879
Chevron,2023-Q1,4,0,0.0,0.0,2.724185
Nike,2025-Q3,4,0,0.0,0.0,7.737255
Goldman Sachs Group,2025-Q2,4,0,0.0,0.0,3.907567
MetLife,2021-Q2,3,0,0.0,0.0,2.148573
Ingram Micro Holding,2025-Q2,4,0,0.0,0.0,0.173287
General Dynamics,2024-Q4,1,0,0.0,0.0,3.806662
Prudential Financial,2019-Q2,4,1,0.25,0.0625,6.001941
Exxon Mobil,2019-Q2,1,0,0.0,0.0,2.890372
JPMorgan Chase,2023-Q1,4,0,0.0,0.0,3.997647
Allstate,2020-Q4,5,0,0.0,0.0,3.31688
Walmart,2025-Q1,2,0,0.0,0.0,5.099699
Wells Fargo,2023-Q3,2,0,0.0,0.0,3.753021
MetLife,2021-Q3,2,0,0.0,0.0,1.319529
Coca-Cola,2022-Q4,1,0,0.0,0.0,5.986452
Ford Motor,2023-Q1,5,0,0.0,0.0,7.048395
AT&T,2023-Q3,4,0,0.0,0.0,4.02641
Progressive,2026-Q2,1,1,1.0,1.0,2.944439
Morgan Stanley,2023-Q1,4,0,0.0,0.0,2.953257
Boeing,2023-Q3,2,0,0.0,0.0,4.731327
Massachusetts Mutual Life,2021-Q4,4,0,0.0,0.0,2.992461
Ford Motor,2022-Q2,3,0,0.0,0.0,6.161489
IBM,2023-Q3,3,0,0.0,0.0,4.52178
Exxon Mobil,2019-Q3,1,0,0.0,0.0,4.532599
Comcast,2024-Q3,7,0,0.0,0.0,4.473547
Nvidia,2025-Q4,4,0,0.0,0.0,6.862986
AbbVie,2023-Q4,5,0,0.0,0.0,1.082329
Freddie Mac,2026-Q2,1,0,0.0,0.0,1.386294
Uber Technologies,2025-Q2,2,0,0.0,0.0,3.629558
Massachusetts Mutual Life,2021-Q3,4,1,0.25,0.0625,1.834234
Tyson Foods,2019-Q3,9,0,0.0,0.0,2.122075
Cisco Systems,2025-Q1,4,0,0.0,0.0,2.928762
Sysco,2021-Q4,1,0,0.0,0.0,2.197225
AbbVie,2025-Q4,2,0,0.0,0.0,1.589027
Tyson Foods,2020-Q2,5,1,0.2,0.04,4.364544
Ingram Micro Holding,2023-Q3,5,0,0.0,0.0,1.31585
Lowe's,2022-Q1,2,0,0.0,0.0,3.736535
JPMorgan Chase,2022-Q2,2,0,0.0,0.0,4.316688
Nationwide,2023-Q1,3,0,0.0,0.0,5.804946
American Express,2021-Q3,5,0,0.0,0.0,2.93664
