source_file,file_type,raw_rows,detected_label_columns,detected_text_columns,detected_id_columns,detected_date_columns,usable_for_h1_h2_type_schema,reason_if_not_usable
data/derived/humor/human_labels/wendys_human_label_raw_linked.csv,csv,69,human_label_source;human_label_scope;human_humor_label_raw;human_humor_binary;human_humor_type_raw;human_humor_type_normalized;label_missing_flag,raw_text_match_status;human_text;raw_text;text_normalized_equal,global_post_id;tweet_id;tweet_url,created_at_human;created_at_raw,true,
data/manual_labels/wendys_human_humor_labels.csv,csv,69,humor;type,text,global_post_id,date,true,
20260615wendy's/data/wendys_partial_human_coded_humor_labels.csv,csv,69,humor;type,text,global_post_id,date,true,
20260615wendy's/data/wendys_h2_coder1_priority_dataset.csv,csv,597,final_humor_binary;final_humor_source;final_humor_label_available;final_humor_type;final_humor_type_source;final_humor_type_available;final_humor_type_group;aggressive_humor;other_humor_flag;non_humor_flag;humor_missing_type,text,id;tweet_url,,true,
20260615wendy's/data/wendys_h2_four_type_humor_dataset.csv,csv,278,final_humor_binary;final_humor_label_available;final_humor_type;final_humor_type_source;final_humor_type_group;type_aggressive;type_affiliative;type_self_enhancing;type_self_defeating;type_non_aggressive,text,id;tweet_url,created_year;created_month;created_day;created_hour,true,
20260615wendy's/data/wendys_full_sample_four_type_humor_classifier_dataset.csv,csv,278,label,text,id,,true,
20260615wendy's/data/wendys_h1_time_fe_only_dataset.csv,csv,978,model_prediction_output,,,,false,model_prediction_only_not_human_label
20260615wendy's/data/wendys_h2_full_sample_four_type_prediction_dataset.csv,csv,978,model_prediction_output,,,,false,model_prediction_only_not_human_label
20260615wendy's/result/wendys_full_sample_four_type_humor_predictions.csv,csv,978,model_prediction_output,,,,false,model_prediction_only_not_human_label
20260615wendy's/result/wendys_full_sample_four_type_humor_distribution.csv,csv,5,model_prediction_output,,,,false,model_prediction_only_not_human_label
