tweet_id,company_name,source_x_handle,period,year,month,log_total_engagement,humor_type,aggressive_humor,affiliative_humor,self_enhancing_humor,self_defeating_humor,non_humorous,text_length,hashtag_count,mention_count,h2_sample_inclusion_flag
1866227273298497979,Amazon,@amazon,2024-12,2024,12,5.620401,non_humorous,0,0,0,0,1,365,1,2,1
1866227274951049651,Amazon,@amazon,2024-12,2024,12,4.890349,non_humorous,0,0,0,0,1,23,0,0,1
2000619956891758820,Amazon,@amazon,2025-12,2025,12,3.988984,non_humorous,0,0,0,0,1,23,0,0,1
2018409201807331386,Amazon,@amazon,2026-02,2026,02,4.077537,non_humorous,0,0,0,0,1,23,0,0,1
2020942354916704320,Amazon,@amazon,2026-02,2026,02,3.044522,non_humorous,0,0,0,0,1,23,0,0,1
2023539637181161700,Amazon,@amazon,2026-02,2026,02,4.442651,non_humorous,0,0,0,0,1,23,0,0,1
1891563592765366429,Amazon,@amazon,2025-02,2025,02,3.688879,non_humorous,0,0,0,0,1,167,3,1,1
2008195077039181956,Amazon,@amazon,2026-01,2026,01,3.663562,non_humorous,0,0,0,0,1,294,1,1,1
1878942784939307323,Amazon,@amazon,2025-01,2025,01,5.438079,non_humorous,0,0,0,0,1,395,0,5,1
1807892151713288651,Amazon,@amazon,2024-07,2024,07,3.433987,non_humorous,0,0,0,0,1,166,0,0,1
1810360629284180281,Amazon,@amazon,2024-07,2024,07,4.584967,non_humorous,0,0,0,0,1,23,0,0,1
1812874900593328338,Amazon,@amazon,2024-07,2024,07,4.828314,non_humorous,0,0,0,0,1,23,0,0,1
1797685331942408617,Amazon,@amazon,2024-06,2024,06,6.642487,non_humorous,0,0,0,0,1,240,1,2,1
1802692572449526034,Amazon,@amazon,2024-06,2024,06,4.043051,non_humorous,0,0,0,0,1,23,0,0,1
2028576936956424537,Amazon,@amazon,2026-03,2026,03,3.713572,affiliative,0,1,0,0,0,56,0,1,1
2031007327361565042,Amazon,@amazon,2026-03,2026,03,5.262690,non_humorous,0,0,0,0,1,244,0,0,1
2031022228951695843,Amazon,@amazon,2026-03,2026,03,4.852030,non_humorous,0,0,0,0,1,170,0,1,1
2033647348208046290,Amazon,@amazon,2026-03,2026,03,3.761200,non_humorous,0,0,0,0,1,23,0,0,1
2033656547562426665,Amazon,@amazon,2026-03,2026,03,4.762174,non_humorous,0,0,0,0,1,246,0,1,1
2036136683821842748,Amazon,@amazon,2026-03,2026,03,6.748760,non_humorous,0,0,0,0,1,589,0,0,1
2036154187059437801,Amazon,@amazon,2026-03,2026,03,4.718499,non_humorous,0,0,0,0,1,140,0,1,1
2036156922559365623,Amazon,@amazon,2026-03,2026,03,3.663562,non_humorous,0,0,0,0,1,64,0,1,1
2038669764743020565,Amazon,@amazon,2026-03,2026,03,3.951244,non_humorous,0,0,0,0,1,23,0,0,1
1906749710091821193,Amazon,@amazon,2025-03,2025,03,5.192957,non_humorous,0,0,0,0,1,209,0,0,1
1906749711790514582,Amazon,@amazon,2025-03,2025,03,4.158883,non_humorous,0,0,0,0,1,41,0,0,1
2051240894842429624,Amazon,@amazon,2026-05,2026,05,8.038512,non_humorous,0,0,0,0,1,23,0,0,1
2051241496737628587,Amazon,@amazon,2026-05,2026,05,9.561983,non_humorous,0,0,0,0,1,571,0,0,1
1919473268202811532,Amazon,@amazon,2025-05,2025,05,5.176150,non_humorous,0,0,0,0,1,229,0,1,1
1985349781145714903,Amazon,@amazon,2025-11,2025,11,6.735780,non_humorous,0,0,0,0,1,754,0,2,1
1987886047393456583,Amazon,@amazon,2025-11,2025,11,5.036953,non_humorous,0,0,0,0,1,206,0,0,1
1987888526881325491,Amazon,@amazon,2025-11,2025,11,3.295837,non_humorous,0,0,0,0,1,140,0,1,1
1992971507794874501,Amazon,@amazon,2025-11,2025,11,6.874198,non_humorous,0,0,0,0,1,281,0,0,1
1992989075645641007,Amazon,@amazon,2025-11,2025,11,5.993961,non_humorous,0,0,0,0,1,334,0,0,1
1992989077155570083,Amazon,@amazon,2025-11,2025,11,4.219508,non_humorous,0,0,0,0,1,23,0,0,1
1993067947506442260,Amazon,@amazon,2025-11,2025,11,3.367296,non_humorous,0,0,0,0,1,300,2,1,1
1701350777401520386,Amazon,@amazon,2023-09,2023,09,5.880533,non_humorous,0,0,0,0,1,461,0,0,1
1706286790188122362,Amazon,@amazon,2023-09,2023,09,6.692084,non_humorous,0,0,0,0,1,376,0,1,1
1706338564659642421,Amazon,@amazon,2023-09,2023,09,5.293305,non_humorous,0,0,0,0,1,282,0,0,1
