company_name,period,post_count,humor_post_count,aggressive_humor_post_count,aggressive_humor_usage_intensity,aggressive_humor_usage_intensity_sq,mean_log_total_engagement,mean_total_engagement,median_total_engagement,mean_text_length,mean_hashtag_count,mean_mention_count,h3_sample_inclusion_flag
Walmart,2024-07,26,20,0,0.0,0.0,3.882356,70.153846,55.0,104.5385,0.3077,0.0769,1
Walmart,2025-07,9,9,0,0.0,0.0,4.931543,170.777778,111.0,104.2222,0.1111,0.0,1
Walmart,2023-07,10,8,0,0.0,0.0,5.089222,576.5,132.5,101.6,0.6,0.5,1
Walmart,2026-06,4,2,0,0.0,0.0,4.388045,87.75,81.5,89.0,0.0,0.25,1
Walmart,2025-06,11,7,0,0.0,0.0,5.667015,398.0,292.0,115.0909,0.3636,0.3636,1
Walmart,2024-06,15,9,0,0.0,0.0,4.191016,82.466667,86.0,90.0,0.0667,0.0,1
Walmart,2024-03,12,11,0,0.0,0.0,4.281705,91.416667,81.5,124.5833,0.0833,0.0,1
Walmart,2025-03,17,13,0,0.0,0.0,5.084733,5161.529412,147.0,67.8824,0.1765,0.0,1
Walmart,2025-05,10,7,0,0.0,0.0,5.030621,223.8,153.0,61.9,0.0,0.0,1
Walmart,2024-05,10,8,0,0.0,0.0,4.19452,81.6,63.0,112.9,0.2,0.0,1
Walmart,2026-05,6,5,0,0.0,0.0,6.290764,6040.5,159.5,95.3333,0.0,0.3333,1
Walmart,2024-11,10,8,0,0.0,0.0,4.702447,134.5,83.0,103.0,0.1,0.1,1
Walmart,2023-11,12,12,0,0.0,0.0,5.241653,221.416667,187.0,133.9167,0.4167,0.0,1
Walmart,2024-10,27,20,0,0.0,0.0,4.107879,82.407407,65.0,62.3704,0.1111,0.0,1
Walmart,2023-10,22,21,1,0.045454545455,0.002066115702,4.89478,985.045455,124.0,126.0,0.0909,0.0455,1
Walmart,2024-09,18,14,0,0.0,0.0,3.986266,69.777778,60.5,88.2222,0.3889,0.1111,1
Walmart,2023-09,52,49,0,0.0,0.0,5.168436,702.134615,114.5,97.6346,0.5962,0.0577,1
Walmart,2025-09,6,5,0,0.0,0.0,5.947591,11917.333333,143.5,103.3333,0.0,0.1667,1
Walmart,2026-03,5,3,0,0.0,0.0,5.752594,26822.4,86.0,66.0,0.4,0.4,1
Walmart,2025-11,3,2,0,0.0,0.0,4.888349,140.666667,127.0,123.0,0.3333,0.0,1
Walmart,2025-10,5,5,0,0.0,0.0,4.83886,147.6,101.0,73.4,0.0,0.0,1
Walmart,2025-12,2,0,0,0.0,0.0,4.573381,101.5,101.5,158.0,1.0,0.0,1
UnitedHealth Group,2023-04,5,1,0,0.0,0.0,2.213328,9.2,7.0,189.6,1.0,0.2,1
UnitedHealth Group,2023-01,4,0,0,0.0,0.0,1.880464,6.0,5.5,146.25,0.5,0.5,1
UnitedHealth Group,2023-03,5,0,0,0.0,0.0,2.955248,22.4,15.0,236.6,0.8,1.8,1
UnitedHealth Group,2026-03,10,0,0,0.0,0.0,2.126327,12.9,6.0,225.1,0.5,0.8,1
UnitedHealth Group,2026-05,8,0,0,0.0,0.0,2.156606,12.875,7.5,160.375,0.0,0.25,1
UnitedHealth Group,2022-11,5,0,0,0.0,0.0,2.612625,42.4,8.0,214.8,1.0,1.4,1
UnitedHealth Group,2022-10,10,0,0,0.0,0.0,2.641751,19.1,10.5,190.8,0.7,0.1,1
UnitedHealth Group,2026-04,6,0,0,0.0,0.0,2.325842,19.166667,7.5,195.6667,0.1667,1.0,1
UnitedHealth Group,2023-02,3,0,0,0.0,0.0,2.293119,9.0,8.0,254.3333,0.6667,0.6667,1
UnitedHealth Group,2026-06,1,0,0,0.0,0.0,2.302585,9.0,9.0,262.0,0.0,0.0,1
UnitedHealth Group,2025-03,7,0,0,0.0,0.0,3.402476,60.857143,34.0,158.5714,0.0,1.0,1
UnitedHealth Group,2023-05,5,0,0,0.0,0.0,2.787361,16.2,19.0,247.8,0.4,2.0,1
UnitedHealth Group,2022-09,8,0,0,0.0,0.0,2.083257,11.5,7.0,239.0,0.5,0.375,1
UnitedHealth Group,2025-06,3,0,0,0.0,0.0,4.127403,64.333333,66.0,223.3333,0.0,0.0,1
UnitedHealth Group,2025-04,4,0,0,0.0,0.0,3.736974,42.25,45.0,171.0,0.25,0.0,1
UnitedHealth Group,2022-12,3,0,0,0.0,0.0,2.295851,9.333333,9.0,230.3333,0.6667,0.6667,1
UnitedHealth Group,2025-02,1,0,0,0.0,0.0,2.772589,15.0,15.0,87.0,0.0,0.0,1
UnitedHealth Group,2023-07,3,0,0,0.0,0.0,3.794325,69.666667,22.0,194.0,0.6667,0.0,1
UnitedHealth Group,2025-07,8,0,0,0.0,0.0,4.339592,83.125,74.5,182.625,0.25,0.0,1
UnitedHealth Group,2025-05,3,0,0,0.0,0.0,4.912575,173.666667,145.0,276.3333,0.0,0.0,1
UnitedHealth Group,2025-08,1,0,0,0.0,0.0,5.023881,151.0,151.0,155.0,0.0,0.0,1
UnitedHealth Group,2025-12,1,0,0,0.0,0.0,3.367296,28.0,28.0,128.0,0.0,0.0,1
UnitedHealth Group,2023-06,3,0,0,0.0,0.0,2.790337,15.333333,15.0,211.0,0.3333,0.3333,1
UnitedHealth Group,2025-10,3,0,0,0.0,0.0,2.736164,18.333333,17.0,172.0,0.3333,1.6667,1
UnitedHealth Group,2025-09,1,0,0,0.0,0.0,4.770685,117.0,117.0,186.0,0.0,0.0,1
Alphabet,2015-08,2,2,0,0.0,0.0,4.615071,101.5,101.5,53.0,0.0,0.0,1
Alphabet,2026-04,66,11,1,0.015151515152,0.000229568411,5.805674,958.090909,300.5,246.5303,0.2273,0.8788,1
Alphabet,2026-06,37,6,0,0.0,0.0,5.9988,974.081081,483.0,319.973,0.0811,0.8649,1
Alphabet,2026-05,120,32,0,0.0,0.0,5.937938,1177.641667,361.5,213.0333,0.4167,0.875,1
Alphabet,2026-03,1,0,0,0.0,0.0,7.830823,2516.0,2516.0,277.0,0.0,0.0,1
CVS Health,2022-04,21,2,0,0.0,0.0,2.292425,10.238095,11.0,266.4286,1.381,0.8571,1
CVS Health,2021-04,33,1,0,0.0,0.0,2.457742,15.545455,10.0,242.4545,1.2121,1.0606,1
CVS Health,2021-08,27,1,0,0.0,0.0,1.997621,10.259259,6.0,260.0,0.8889,0.7778,1
CVS Health,2021-12,19,2,0,0.0,0.0,2.395221,17.947368,10.0,263.9474,1.4737,0.5789,1
