model_id,hypothesis,dependent_variable,sample_filter,n_obs,n_companies,n_periods,r_squared,adjusted_r_squared,fixed_effects_used,controls_used,dropped_variables,collinearity_warning,h3_nonzero_aggressive_intensity_rows,h3_zero_share,interpretation_scope
H1a,H1,CAR_m1_p1,"primary (lag1m+lag3m, join_ready)",430,78,3,0.052705,0.020748,"target_report_year_FE, naics_sector_code_FE","log_humor_count, ambiguity_rate, high_ambiguity_flag, source_x_handle_count",,,5,0.9884,correlational — no causal interpretation warranted
H1b,H1,CAR_m1_p1,"primary (lag1m+lag3m, join_ready)",430,78,3,0.053741,0.021819,"target_report_year_FE, naics_sector_code_FE","log_humor_count, ambiguity_rate, high_ambiguity_flag, source_x_handle_count",,,5,0.9884,correlational — no causal interpretation warranted
H2a,H2,CAR_m1_p1,"primary (lag1m+lag3m, join_ready) [affiliative_share=ref, excluded]",430,78,3,0.057181,0.020656,"target_report_year_FE, naics_sector_code_FE","log_humor_count, ambiguity_rate, high_ambiguity_flag, source_x_handle_count",,,5,0.9884,correlational — no causal interpretation warranted
H2b,H2,CAR_m1_p1,"primary (lag1m+lag3m, join_ready)",430,78,3,0.051676,0.019684,"target_report_year_FE, naics_sector_code_FE","log_humor_count, ambiguity_rate, high_ambiguity_flag, source_x_handle_count",,,5,0.9884,correlational — no causal interpretation warranted
H3,H3,CAR_m1_p1,"primary (lag1m+lag3m, join_ready) [EXPLORATORY — extreme sparsity]",430,78,3,0.052285,0.017947,"target_report_year_FE, naics_sector_code_FE","log_humor_count, ambiguity_rate, high_ambiguity_flag, source_x_handle_count",,,5,0.9884,exploratory correlational — H3 aggressive intensity has only 5 nonzero rows in primary sample (98.8% zero); interpret with extreme caution
H1a_lag1m,H1,CAR_m1_p1,prefiling_lag_1m only,140,67,3,0.077992,-0.025273,"target_report_year_FE, naics_sector_code_FE","log_humor_count, ambiguity_rate, high_ambiguity_flag, source_x_handle_count",,,1,0.9929,correlational — no causal interpretation warranted
H1a_lag3m,H1,CAR_m1_p1,prefiling_lag_3m only,290,78,3,0.045725,-0.002856,"target_report_year_FE, naics_sector_code_FE","log_humor_count, ambiguity_rate, high_ambiguity_flag, source_x_handle_count",,,4,0.9862,correlational — no causal interpretation warranted
H1a_samemon,H1,CAR_m1_p1,same_month only (simultaneity caution),150,74,3,0.05879,-0.031178,"target_report_year_FE, naics_sector_code_FE","log_humor_count, ambiguity_rate, high_ambiguity_flag, source_x_handle_count",,,4,0.9733,correlational — caution: same_month alignment carries simultaneity risk
H1a_compFE,H1,CAR_m1_p1,primary (lag1m+lag3m) with company FE [robustness],430,78,3,0.490968,0.36703,"target_report_year_FE, company_name_FE","log_humor_count, ambiguity_rate, high_ambiguity_flag, source_x_handle_count",,,5,0.9884,correlational — no causal interpretation warranted
