model_id,hypothesis,dependent_variable,independent_variable,coefficient,std_error,t_stat,p_value,ci_lower,ci_upper,n_obs,fixed_effects,sample_filter,interpretation_scope
H1a,H1,CAR_m1_p1,humor_share,0.01293733,0.01822869,0.7097,0.478274,-0.02289474,0.0487694,430,"target_report_year_FE, naics_sector_code_FE","primary (lag1m+lag3m, join_ready)",correlational — no causal interpretation warranted
H1b,H1,CAR_m1_p1,humor_presence_any,0.00933177,0.00953046,0.9792,0.328075,-0.00940223,0.02806577,430,"target_report_year_FE, naics_sector_code_FE","primary (lag1m+lag3m, join_ready)",correlational — no causal interpretation warranted
H2a,H2,CAR_m1_p1,aggressive_share,0.15945994,0.56421374,0.2826,0.777607,-0.94962886,1.26854875,430,"target_report_year_FE, naics_sector_code_FE","primary (lag1m+lag3m, join_ready) [affiliative_share=ref, excluded]",correlational — no causal interpretation warranted
H2a,H2,CAR_m1_p1,self_enhancing_share,0.03162373,0.02212847,1.4291,0.153732,-0.01187475,0.0751222,430,"target_report_year_FE, naics_sector_code_FE","primary (lag1m+lag3m, join_ready) [affiliative_share=ref, excluded]",correlational — no causal interpretation warranted
H2a,H2,CAR_m1_p1,self_defeating_share,-0.32492458,0.59469863,-0.5464,0.585108,-1.49393829,0.84408913,430,"target_report_year_FE, naics_sector_code_FE","primary (lag1m+lag3m, join_ready) [affiliative_share=ref, excluded]",correlational — no causal interpretation warranted
H2b,H2,CAR_m1_p1,rare_negative_humor_share,-0.09516865,0.414129,-0.2298,0.818357,-0.90922067,0.71888338,430,"target_report_year_FE, naics_sector_code_FE","primary (lag1m+lag3m, join_ready)",correlational — no causal interpretation warranted
H3,H3,CAR_m1_p1,aggressive_humor_usage_intensity,1.60607598,2.96259828,0.5421,0.588029,-4.2175349,7.42968685,430,"target_report_year_FE, naics_sector_code_FE","primary (lag1m+lag3m, join_ready) [EXPLORATORY — extreme sparsity]",exploratory correlational — H3 aggressive intensity has only 5 nonzero rows in primary sample (98.8% zero); interpret with extreme caution
H3,H3,CAR_m1_p1,aggressive_humor_usage_intensity_sq,-27.76788419,55.29753507,-0.5022,0.615826,-136.46683569,80.93106731,430,"target_report_year_FE, naics_sector_code_FE","primary (lag1m+lag3m, join_ready) [EXPLORATORY — extreme sparsity]",exploratory correlational — H3 aggressive intensity has only 5 nonzero rows in primary sample (98.8% zero); interpret with extreme caution
H1a_lag1m,H1,CAR_m1_p1,humor_share,0.00621207,0.06020896,0.1032,0.917989,-0.11294895,0.12537308,140,"target_report_year_FE, naics_sector_code_FE",prefiling_lag_1m only,correlational — no causal interpretation warranted
H1a_lag3m,H1,CAR_m1_p1,humor_share,0.01127073,0.0202289,0.5572,0.577872,-0.02855245,0.0510939,290,"target_report_year_FE, naics_sector_code_FE",prefiling_lag_3m only,correlational — no causal interpretation warranted
H1a_samemon,H1,CAR_m1_p1,humor_share,-0.00335438,0.03897457,-0.0861,0.931541,-0.08042897,0.07372021,150,"target_report_year_FE, naics_sector_code_FE",same_month only (simultaneity caution),correlational — caution: same_month alignment carries simultaneity risk
H1a_compFE,H1,CAR_m1_p1,humor_share,-0.00014144,0.01781652,-0.0079,0.99367,-0.0351841,0.03490122,430,"target_report_year_FE, company_name_FE",primary (lag1m+lag3m) with company FE [robustness],correlational — no causal interpretation warranted
