iv_name,label,note,bounded_0_1,is_explicitly_bounded_construction,n,nonzero_n,nonzero_pct,nonzero_company_n,nonzero_period_n,intensity_level_n,min,max,mean,median,std,p10,p25,p75,p90,has_negative_value,exceeds_one,top_1_company_share,top_5_company_share,recommended_use
aggressive_candidate_score_sum,Corrected aggressive score sum,P(humor)×P(type|humor) summed; unified formula; unbounded,True,False,430,399,92.7907,77,38,399,0.0,0.756929,0.056432,0.033364,0.083981,0.006342,0.013865,0.072573,0.117499,False,False,0.067,0.2359,limited_robustness_possible
aggressive_candidate_score_intensity_bounded,Corrected aggressive bounded intensity,"score_sum/total_posts; bounded [0,1]; PRIMARY H3 CANDIDATE",True,True,430,399,92.7907,77,38,380,0.0,0.034133,0.003553,0.00333,0.002824,0.00139,0.002412,0.004225,0.005642,False,False,0.0404,0.1426,limited_robustness_possible
aggressive_prob_sum_legacy,Legacy aggressive prob sum (RENAME REQUIRED),Gate5 legacy; missing ml_humor_prob factor for classified posts,False,False,430,399,92.7907,77,38,399,0.0,1.014104,0.059005,0.033364,0.103122,0.006342,0.013865,0.072573,0.117499,False,True,0.0742,0.248,rename_required (exceeds 1)
hc_v2_aggressive_candidate_intensity_bounded,v2 candidate bounded intensity,"v2_count/total_posts; bounded [0,1]",False,True,430,259,60.2326,43,38,90,0.0,7.0,0.302488,0.058824,0.753376,0.0,0.0,0.222222,0.722857,False,True,0.1256,0.4414,rename_required (exceeds 1)
hc_v2_aggressive_candidate_ratio_to_hard_humor,v2 ratio to hard humor,v2_count/humor_count; CAN EXCEED 1; label as ratio not intensity,False,False,430,177,41.1628,40,37,33,0.0,7.0,0.475145,0.0,0.982762,0.0,0.0,0.5,1.025,False,True,0.1395,0.3977,rename_required (exceeds 1)
hc_rare_class_candidate_intensity_bounded,Rare class bounded intensity,"rare_count/total_posts; bounded [0,1]",True,True,430,85,19.7674,14,33,46,0.0,1.0,0.035046,0.0,0.115113,0.0,0.0,0.0,0.083333,False,False,0.1981,0.7176,limited_robustness_possible
hc_negative_humor_intensity,Negative humor intensity (BLOCKED),negative/humor_count; nonzero<30 → H3 BLOCKED,True,False,430,9,2.093,9,6,6,0.0,0.5,0.005038,0.0,0.040785,0.0,0.0,0.0,0.0,False,False,0.2308,0.7848,do_not_use_for_regression
top_k_aggressive_type_confidence,Top-k type confidence (BLOCKED),top-3 humor_type_confidence for aggressive posts; nonzero<30 → H3 BLOCKED,True,True,430,5,1.1628,5,3,2,0.0,0.8,0.008465,0.0,0.078713,0.0,0.0,0.0,0.0,False,False,0.2198,1.0,do_not_use_for_regression
sd_candidate_score_intensity_bounded,Self-defeating bounded intensity,"P(self_defeating) summed / total_posts; bounded [0,1]",True,True,430,399,92.7907,77,38,355,0.0,0.036217,0.001504,0.0013,0.0025,0.000543,0.000942,0.001646,0.002163,False,False,0.067,0.2178,limited_robustness_possible
