section,metric,value,note
D1_post_presence,total_posts,68020,
D1_post_presence,humor_posts,9701,14.3%
D1_post_presence,non_humor_posts,25570,37.6%
D1_post_presence,ambiguous_posts,32749,48.1%
D1_post_presence,other_posts,0,0.0%
D1_post_presence,ambiguous_rate,48.15,"CRITICAL — ambiguous posts are deferred, not classified"
D2_confidence_zone,prob_<0.30,33,0.1% of scored posts
D2_confidence_zone,prob_0.30-0.40,967,1.4% of scored posts
D2_confidence_zone,prob_0.40-0.45,2414,3.5% of scored posts
D2_confidence_zone,prob_0.45-0.50,5539,8.1% of scored posts
D2_confidence_zone,prob_0.50-0.55,8962,13.2% of scored posts
D2_confidence_zone,prob_0.55-0.60,12761,18.8% of scored posts
D2_confidence_zone,prob_0.60-0.70,28012,41.2% of scored posts
D2_confidence_zone,prob_≥0.70,9332,13.7% of scored posts
D2_confidence_zone,"ambiguous_probability_zone_[0.40,0.60)_n",29676,43.6% of scored posts — near-decision-boundary
D3_type_dist_post,affiliative,4668,48.1% of humor posts
D3_type_dist_post,self_enhancing,4887,50.4% of humor posts
D3_type_dist_post,aggressive,105,1.1% of humor posts
D3_type_dist_post,self_defeating,41,0.4% of humor posts
D3_type_dist_post,aggressive_rate_of_humor_posts,1.08,CRITICAL SPARSITY — aggressive humor is <2% of humor posts
D3_type_dist_post,aggressive_rate_of_all_posts,0.15,
D4_aggressive_sparsity,aggressive_posts_total,105,
D4_aggressive_sparsity,companies_with_ge1_agg_post,45,45.5% of companies
D4_aggressive_sparsity,companies_total_in_full_chain,99,
D4_aggressive_sparsity,firm_period_rows_total,3767,
D4_aggressive_sparsity,firm_period_agg_count_zero,3676,97.6%
D4_aggressive_sparsity,firm_period_agg_count_ge1,91,2.4%
D4_aggressive_sparsity,firm_period_agg_count_ge3,3,0.1%
D4_aggressive_sparsity,firm_period_agg_count_max,4,
D4_aggressive_sparsity,regression_primary_sample_n,430,
D4_aggressive_sparsity,regression_primary_agg_nonzero,5,1.2% nonzero — H3 effectively unidentified
D5_dilution,median_total_posts_per_firm_period,13.0,
D5_dilution,p90_total_posts_per_firm_period,38.0,
D5_dilution,median_humor_count_per_firm_period,1.0,
D5_dilution,median_humor_share,0.1132,
D5_dilution,p90_humor_share,0.3077,
D5_dilution,firm_period_zero_humor_n,1126,29.9%
D5_dilution,dilution_note,humor_share = humor_count / total_posts; high total_posts dilutes signal,"median total_posts=13, median humor_count=1"
D5_dilution,median_within_company_humor_share_std,0.1173,low within-company variation → limited time-series identification
D5_dilution,companies_with_zero_std_humor_share,1,companies with no within-company humor_share variation across periods
D6_iv_distribution,humor_share_n,430,H1a main IV
D6_iv_distribution,humor_share_zero_n,143,H1a main IV
D6_iv_distribution,humor_share_zero_pct,33.26,H1a main IV
D6_iv_distribution,humor_share_mean,0.148447,H1a main IV
D6_iv_distribution,humor_share_median,0.111111,H1a main IV
D6_iv_distribution,humor_share_std,0.17983,H1a main IV
D6_iv_distribution,humor_share_p10,0.0,H1a main IV
D6_iv_distribution,humor_share_p25,0.0,H1a main IV
