term,v3_simple_coef,v3_simple_p,v3_simple_stars,cd_coef,cd_p,cd_stars,delta_coef
intercept,3.189117,0.0,***,5.045959,0.0,***,+1.8568
aggressive,1.919804,0.0,***,0.324678,0.0,***,-1.5951
affiliative,0.806469,0.0,***,0.178508,0.0,***,-0.6280
self_enhancing,1.42973,0.0,***,0.249866,0.0,***,-1.1799
self_defeating,2.168065,0.0,***,0.453933,0.0,***,-1.7141
H1,1.166525,0.0,***,0.224747,0.0,***,-0.9418
H2-1,0.849484,0.0,***,0.112693,7.6e-05,***,-0.7368
H2-2,0.438443,0.0,***,0.060542,0.049028,**,-0.3779
H2-3a,1.113334,0.0,***,0.14617,1e-06,***,-0.9672
H2-3b,0.490074,0.0,***,0.074812,0.016325,**,-0.4153
H2-3c,-0.248261,0.010718,**,-0.129255,0.037795,**,+0.1190
H3_beta1,12.619846,n/a,,-1.234697,n/a,,n/a
H3_beta2,-11.257243,n/a,,2.708595,n/a,,n/a
H3_TP,n/a,n/a,,0.227922,n/a,,n/a
