model,n_firm_quarters,n_nonzero_intensity,k,beta1_intensity,beta1_se,beta1_t,beta1_p,beta1_stars,beta2_intensity_sq,beta2_se,beta2_t,beta2_p,beta2_stars,turning_point,obs_intensity_min,obs_intensity_max,tp_in_obs_range,H3_supported,r_squared,adj_r_squared
Full_sample_H3_CD,1420,578,101,-1.234697,0.658125,-1.8761,0.060864,*,2.708595,1.135667,2.385,0.017218,**,0.227922,0.0,1.0,True,False,0.809725,0.795299
Human_coded_H3_CD,925,97,100,-0.330836,0.825499,-0.4008,0.688693,,0.378486,1.022498,0.3702,0.711359,,0.437051,0.0,1.0,True,False,0.769243,0.741552
