model,term,coefficient,std_error,t_statistic,p_value,stars,n,r_squared,adj_r_squared,df_residual
Human_coded_H3_CD,intercept,5.438424,0.307744,17.6719,0.0,***,925,0.769243,0.741552,825
Human_coded_H3_CD,AggressiveIntensity,-0.330836,0.825499,-0.4008,0.688693,,925,0.769243,0.741552,825
Human_coded_H3_CD,AggressiveIntensity_sq,0.378486,1.022498,0.3702,0.711359,,925,0.769243,0.741552,825
Human_coded_H3_CD,company_2,-0.776293,0.438227,-1.7714,0.076857,*,925,0.769243,0.741552,825
Human_coded_H3_CD,company_3,-2.544805,0.567451,-4.4846,8e-06,***,925,0.769243,0.741552,825
Human_coded_H3_CD,company_4,0.181804,0.814345,0.2233,0.823394,,925,0.769243,0.741552,825
Human_coded_H3_CD,company_5,-2.880831,0.50701,-5.682,0.0,***,925,0.769243,0.741552,825
Human_coded_H3_CD,company_6,-3.65166,0.435215,-8.3905,0.0,***,925,0.769243,0.741552,825
Human_coded_H3_CD,company_7,-1.229917,0.435215,-2.826,0.004827,***,925,0.769243,0.741552,825
Human_coded_H3_CD,company_8,-4.049382,0.486585,-8.322,0.0,***,925,0.769243,0.741552,825
Human_coded_H3_CD,company_9,1.331964,0.507119,2.6265,0.008786,***,925,0.769243,0.741552,825
Human_coded_H3_CD,company_10,-1.299939,0.419575,-3.0982,0.002013,***,925,0.769243,0.741552,825
Human_coded_H3_CD,company_11,-4.190641,0.486585,-8.6123,0.0,***,925,0.769243,0.741552,825
Human_coded_H3_CD,company_12,-3.334748,0.50701,-6.5773,0.0,***,925,0.769243,0.741552,825
Human_coded_H3_CD,company_13,0.47746,0.615487,0.7757,0.438123,,925,0.769243,0.741552,825
Human_coded_H3_CD,company_14,1.043663,0.486585,2.1449,0.032255,**,925,0.769243,0.741552,825
Human_coded_H3_CD,company_15,-3.029873,0.470086,-6.4454,0.0,***,925,0.769243,0.741552,825
Human_coded_H3_CD,company_16,-3.581004,0.444997,-8.0473,0.0,***,925,0.769243,0.741552,825
