model,term,coefficient,std_error,t_statistic,p_value,stars,n,r_squared,adj_r_squared,df_residual
Full_sample_H3_CD,intercept,5.798455,0.220127,26.3414,0.0,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,AggressiveIntensity,-1.234697,0.658125,-1.8761,0.060864,*,1420,0.809725,0.795299,1319
Full_sample_H3_CD,AggressiveIntensity_sq,2.708595,1.135667,2.385,0.017218,**,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_2,-0.862416,0.323235,-2.6681,0.007722,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_3,-2.868076,0.32481,-8.83,0.0,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_4,-0.148238,0.510672,-0.2903,0.771647,,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_5,-3.196873,0.333476,-9.5865,0.0,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_6,-3.863624,0.285419,-13.5367,0.0,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_7,-1.471385,0.282472,-5.209,0.0,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_8,-4.385943,0.29606,-14.8144,0.0,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_9,0.139672,0.371385,0.3761,0.706914,,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_10,-1.08002,0.279663,-3.8619,0.000118,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_11,-4.101035,0.343717,-11.9314,0.0,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_12,-3.536361,0.305374,-11.5804,0.0,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_13,-0.464795,0.391114,-1.1884,0.234895,,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_14,0.669236,0.305125,2.1933,0.028459,**,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_15,-3.407573,0.305358,-11.1593,0.0,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_16,-4.173223,0.300424,-13.8911,0.0,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_17,-1.507664,0.310987,-4.848,1e-06,***,1420,0.809725,0.795299,1319
