model,term,coefficient,std_error,t_statistic,p_value,stars,n,r_squared,adj_r_squared,df_residual
Full_sample_CD,intercept,5.045959,0.039718,127.0455,0.0,***,68039,0.624907,0.624344,67936
Full_sample_CD,aggressive,0.324678,0.028685,11.3188,0.0,***,68039,0.624907,0.624344,67936
Full_sample_CD,affiliative,0.178508,0.014573,12.2494,0.0,***,68039,0.624907,0.624344,67936
Full_sample_CD,self_enhancing,0.249866,0.018005,13.8775,0.0,***,68039,0.624907,0.624344,67936
Full_sample_CD,self_defeating,0.453933,0.057874,7.8435,0.0,***,68039,0.624907,0.624344,67936
Full_sample_CD,company_2,-0.570189,0.059988,-9.5051,0.0,***,68039,0.624907,0.624344,67936
Full_sample_CD,company_3,-2.343438,0.112104,-20.9042,0.0,***,68039,0.624907,0.624344,67936
Full_sample_CD,company_4,0.930896,0.071653,12.9917,0.0,***,68039,0.624907,0.624344,67936
Full_sample_CD,company_5,-2.585007,0.067357,-38.3778,0.0,***,68039,0.624907,0.624344,67936
Full_sample_CD,company_6,-3.099363,0.060012,-51.6454,0.0,***,68039,0.624907,0.624344,67936
Full_sample_CD,company_7,-0.759853,0.067037,-11.3347,0.0,***,68039,0.624907,0.624344,67936
Full_sample_CD,company_8,-3.70499,0.071632,-51.7225,0.0,***,68039,0.624907,0.624344,67936
Full_sample_CD,company_9,0.728453,0.064005,11.3813,0.0,***,68039,0.624907,0.624344,67936
Full_sample_CD,company_10,-1.046168,0.059951,-17.4504,0.0,***,68039,0.624907,0.624344,67936
Full_sample_CD,company_11,-3.202586,0.06691,-47.8639,0.0,***,68039,0.624907,0.624344,67936
Full_sample_CD,company_12,-3.074553,0.069621,-44.1616,0.0,***,68039,0.624907,0.624344,67936
Full_sample_CD,company_13,0.351138,0.055393,6.339,0.0,***,68039,0.624907,0.624344,67936
Full_sample_CD,company_14,0.876809,0.113307,7.7384,0.0,***,68039,0.624907,0.624344,67936
Full_sample_CD,company_15,-2.791491,0.065993,-42.2996,0.0,***,68039,0.624907,0.624344,67936
Full_sample_CD,company_16,-3.306275,0.072381,-45.6788,0.0,***,68039,0.624907,0.624344,67936
Full_sample_CD,company_17,-1.264616,0.059894,-21.1141,0.0,***,68039,0.624907,0.624344,67936
Full_sample_CD,company_18,-1.205149,0.060703,-19.8532,0.0,***,68039,0.624907,0.624344,67936
Full_sample_CD,company_19,0.062412,0.0552,1.1307,0.258205,,68039,0.624907,0.624344,67936
Full_sample_CD,company_20,-0.8538,0.063338,-13.48,0.0,***,68039,0.624907,0.624344,67936
Full_sample_CD,company_21,-2.433962,0.076156,-31.9603,0.0,***,68039,0.624907,0.624344,67936
Full_sample_CD,company_22,-3.206346,0.05268,-60.8641,0.0,***,68039,0.624907,0.624344,67936
Full_sample_CD,company_23,-2.616248,0.066333,-39.4412,0.0,***,68039,0.624907,0.624344,67936
Full_sample_CD,company_24,-1.874687,0.058949,-31.8016,0.0,***,68039,0.624907,0.624344,67936
Full_sample_CD,company_25,1.057708,0.198552,5.3271,0.0,***,68039,0.624907,0.624344,67936
Full_sample_CD,company_26,-3.077799,0.063678,-48.3334,0.0,***,68039,0.624907,0.624344,67936
Full_sample_CD,company_27,-3.250511,0.077828,-41.7654,0.0,***,68039,0.624907,0.624344,67936
