model,term,coefficient,std_error,t_statistic,p_value,stars,n,r_squared,adj_r_squared,df_residual
Human_coded_CD,company_66,-1.470758,0.294774,-4.9894,1e-06,***,3574,0.746067,0.73868,3472
Human_coded_CD,company_67,-2.523947,0.597775,-4.2222,2.5e-05,***,3574,0.746067,0.73868,3472
Human_coded_CD,company_68,0.611918,0.319644,1.9144,0.055655,*,3574,0.746067,0.73868,3472
Human_coded_CD,company_69,-1.080878,0.304868,-3.5454,0.000397,***,3574,0.746067,0.73868,3472
Human_coded_CD,company_70,-0.849061,0.477196,-1.7793,0.075283,*,3574,0.746067,0.73868,3472
Human_coded_CD,company_71,-4.310912,0.393931,-10.9433,0.0,***,3574,0.746067,0.73868,3472
Human_coded_CD,company_72,-3.129775,0.361211,-8.6647,0.0,***,3574,0.746067,0.73868,3472
Human_coded_CD,company_73,-2.659509,0.694036,-3.8319,0.000129,***,3574,0.746067,0.73868,3472
Human_coded_CD,company_74,-4.161593,0.303568,-13.7089,0.0,***,3574,0.746067,0.73868,3472
Human_coded_CD,company_75,-1.898293,0.332292,-5.7127,0.0,***,3574,0.746067,0.73868,3472
Human_coded_CD,company_76,-4.397548,0.301566,-14.5824,0.0,***,3574,0.746067,0.73868,3472
Human_coded_CD,company_77,-3.654388,1.065229,-3.4306,0.000609,***,3574,0.746067,0.73868,3472
Human_coded_CD,company_78,1.502458,0.3821,3.9321,8.6e-05,***,3574,0.746067,0.73868,3472
Human_coded_CD,company_79,-0.482771,0.365291,-1.3216,0.186386,,3574,0.746067,0.73868,3472
Human_coded_CD,company_80,-2.461842,0.352397,-6.986,0.0,***,3574,0.746067,0.73868,3472
Human_coded_CD,company_81,-0.123193,0.387223,-0.3181,0.750394,,3574,0.746067,0.73868,3472
Human_coded_CD,company_82,-3.36285,0.449289,-7.4848,0.0,***,3574,0.746067,0.73868,3472
Human_coded_CD,company_83,0.158161,0.477848,0.331,0.740675,,3574,0.746067,0.73868,3472
Human_coded_CD,company_84,-2.795267,0.317474,-8.8047,0.0,***,3574,0.746067,0.73868,3472
Human_coded_CD,company_85,0.343671,0.494627,0.6948,0.487222,,3574,0.746067,0.73868,3472
Human_coded_CD,company_86,-5.404189,0.263548,-20.5055,0.0,***,3574,0.746067,0.73868,3472
Human_coded_CD,company_87,-4.572536,0.285409,-16.021,0.0,***,3574,0.746067,0.73868,3472
Human_coded_CD,company_88,-3.488971,0.290727,-12.0008,0.0,***,3574,0.746067,0.73868,3472
Human_coded_CD,company_89,-0.015867,0.311519,-0.0509,0.959381,,3574,0.746067,0.73868,3472
Human_coded_CD,company_90,-0.166389,0.292019,-0.5698,0.568859,,3574,0.746067,0.73868,3472
Human_coded_CD,company_91,-3.102348,0.536919,-5.7781,0.0,***,3574,0.746067,0.73868,3472
Human_coded_CD,company_92,-2.641633,0.348397,-7.5822,0.0,***,3574,0.746067,0.73868,3472
Human_coded_CD,company_93,-3.611633,0.348593,-10.3606,0.0,***,3574,0.746067,0.73868,3472
Human_coded_CD,company_94,-2.933204,0.335587,-8.7405,0.0,***,3574,0.746067,0.73868,3472
Human_coded_CD,company_95,0.354183,0.514635,0.6882,0.491359,,3574,0.746067,0.73868,3472
Human_coded_CD,company_96,2.752853,0.394093,6.9853,0.0,***,3574,0.746067,0.73868,3472
Human_coded_CD,company_97,-3.804905,0.307956,-12.3553,0.0,***,3574,0.746067,0.73868,3472
Human_coded_CD,company_98,2.032782,0.224307,9.0625,0.0,***,3574,0.746067,0.73868,3472
