company_name,period,source_x_handle_count,source_x_handle_list,total_posts,humor_count,humor_share,log_humor_count,humor_presence_any,humor_share_ambiguity_as_zero,humor_share_ambiguity_excluded,humor_share_ambiguity_as_missing,ambiguity_rate,high_ambiguity_flag
AbbVie,2024-11,1,@abbvie,18,1,0.055556,0.693147,1,0.055556,0.090909,0.055556,0.388889,0
AbbVie,2024-12,1,@abbvie,26,0,0.0,0.0,0,0.0,0.0,0.0,0.384615,0
AbbVie,2025-01,1,@abbvie,10,1,0.1,0.693147,1,0.1,0.125,0.1,0.2,0
AbbVie,2025-02,1,@abbvie,21,1,0.047619,0.693147,1,0.047619,0.0625,0.047619,0.238095,0
AbbVie,2025-03,1,@abbvie,14,1,0.071429,0.693147,1,0.071429,0.090909,0.071429,0.214286,0
AbbVie,2025-04,1,@abbvie,29,1,0.034483,0.693147,1,0.034483,0.05,0.034483,0.310345,0
AbbVie,2025-05,1,@abbvie,17,1,0.058824,0.693147,1,0.058824,0.111111,0.058824,0.470588,0
AbbVie,2025-06,1,@abbvie,23,3,0.130435,1.386294,1,0.130435,0.230769,0.130435,0.434783,0
AbbVie,2025-07,1,@abbvie,16,0,0.0,0.0,0,0.0,0.0,0.0,0.1875,0
AbbVie,2025-08,1,@abbvie,15,1,0.066667,0.693147,1,0.066667,0.125,0.066667,0.466667,0
AbbVie,2025-09,1,@abbvie,38,1,0.026316,0.693147,1,0.026316,0.052632,,0.5,1
AbbVie,2025-10,1,@abbvie,34,1,0.029412,0.693147,1,0.029412,0.047619,0.029412,0.382353,0
AbbVie,2025-11,1,@abbvie,20,2,0.1,1.098612,1,0.1,0.222222,,0.55,1
AbbVie,2025-12,1,@abbvie,9,0,0.0,0.0,0,0.0,0.0,,0.555556,1
AbbVie,2026-01,1,@abbvie,5,0,0.0,0.0,0,0.0,0.0,0.0,0.2,0
AbbVie,2026-02,1,@abbvie,15,1,0.066667,0.693147,1,0.066667,0.071429,0.066667,0.066667,0
AbbVie,2026-03,1,@abbvie,8,0,0.0,0.0,0,0.0,0.0,,0.625,1
AbbVie,2026-04,1,@abbvie,23,6,0.26087,1.94591,1,0.26087,0.3,0.26087,0.130435,0
AbbVie,2026-05,1,@abbvie,10,1,0.1,0.693147,1,0.1,0.125,0.1,0.2,0
AbbVie,2026-06,1,@abbvie,9,0,0.0,0.0,0,0.0,0.0,,0.666667,1
Albertsons,2018-05,1,@albertsons,1,0,0.0,0.0,0,0.0,,,1.0,1
Albertsons,2018-06,1,@albertsons,31,10,0.322581,2.397895,1,0.322581,0.588235,0.322581,0.451613,0
Albertsons,2018-07,1,@albertsons,33,7,0.212121,2.079442,1,0.212121,0.411765,0.212121,0.484848,0
Albertsons,2018-08,1,@albertsons,8,5,0.625,1.791759,1,0.625,0.714286,0.625,0.125,0
Albertsons,2018-09,1,@albertsons,6,1,0.166667,0.693147,1,0.166667,0.25,0.166667,0.333333,0
Albertsons,2018-10,1,@albertsons,3,0,0.0,0.0,0,0.0,0.0,0.0,0.333333,0
Albertsons,2018-11,1,@albertsons,8,1,0.125,0.693147,1,0.125,0.333333,,0.625,1
Albertsons,2018-12,1,@albertsons,5,0,0.0,0.0,0,0.0,0.0,0.0,0.2,0
Albertsons,2019-01,1,@albertsons,9,0,0.0,0.0,0,0.0,0.0,0.0,0.333333,0
Albertsons,2019-02,1,@albertsons,10,0,0.0,0.0,0,0.0,0.0,0.0,0.1,0
Albertsons,2019-03,1,@albertsons,6,1,0.166667,0.693147,1,0.166667,0.25,0.166667,0.333333,0
Albertsons,2019-04,1,@albertsons,10,1,0.1,0.693147,1,0.1,0.142857,0.1,0.3,0
Albertsons,2019-05,1,@albertsons,5,0,0.0,0.0,0,0.0,0.0,0.0,0.2,0
Albertsons,2019-06,1,@albertsons,7,0,0.0,0.0,0,0.0,0.0,0.0,0.428571,0
Albertsons,2019-07,1,@albertsons,5,0,0.0,0.0,0,0.0,0.0,0.0,0.2,0
Albertsons,2019-08,1,@albertsons,5,3,0.6,1.386294,1,0.6,1.0,0.6,0.4,0
Albertsons,2019-09,1,@albertsons,5,0,0.0,0.0,0,0.0,,,1.0,1
Albertsons,2019-10,1,@albertsons,6,0,0.0,0.0,0,0.0,0.0,,0.666667,1
Albertsons,2019-11,1,@albertsons,6,2,0.333333,1.098612,1,0.333333,0.333333,0.333333,0.0,0
Albertsons,2019-12,1,@albertsons,5,0,0.0,0.0,0,0.0,0.0,0.0,0.2,0
Albertsons,2020-01,1,@albertsons,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
Albertsons,2020-02,1,@albertsons,5,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
Albertsons,2020-03,1,@albertsons,9,1,0.111111,0.693147,1,0.111111,0.333333,,0.666667,1
Albertsons,2020-04,1,@albertsons,1,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
Albertsons,2020-05,1,@albertsons,3,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
Albertsons,2020-06,1,@albertsons,5,0,0.0,0.0,0,0.0,0.0,0.0,0.4,0
Albertsons,2020-07,1,@albertsons,1,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
Albertsons,2020-08,1,@albertsons,47,3,0.06383,1.386294,1,0.06383,0.166667,,0.617021,1
Albertsons,2020-09,1,@albertsons,29,4,0.137931,1.609438,1,0.137931,0.235294,0.137931,0.413793,0
Albertsons,2020-10,1,@albertsons,31,4,0.129032,1.609438,1,0.129032,0.285714,,0.548387,1
Albertsons,2020-11,1,@albertsons,33,6,0.181818,1.94591,1,0.181818,0.461538,,0.606061,1
Albertsons,2020-12,1,@albertsons,28,4,0.142857,1.609438,1,0.142857,0.235294,0.142857,0.392857,0
Albertsons,2021-01,1,@albertsons,34,6,0.176471,1.94591,1,0.176471,0.461538,,0.617647,1
Albertsons,2021-02,1,@albertsons,29,3,0.103448,1.386294,1,0.103448,0.176471,0.103448,0.413793,0
Albertsons,2021-03,1,@albertsons,36,3,0.083333,1.386294,1,0.083333,0.2,,0.583333,1
Albertsons,2021-04,1,@albertsons,30,3,0.1,1.386294,1,0.1,0.214286,,0.533333,1
Albertsons,2021-05,1,@albertsons,34,6,0.176471,1.94591,1,0.176471,0.4,,0.558824,1
Albertsons,2021-06,1,@albertsons,39,5,0.128205,1.791759,1,0.128205,0.208333,0.128205,0.384615,0
Albertsons,2021-07,1,@albertsons,36,1,0.027778,0.693147,1,0.027778,0.066667,,0.583333,1
Albertsons,2021-08,1,@albertsons,19,1,0.052632,0.693147,1,0.052632,0.083333,0.052632,0.368421,0
Albertsons,2021-09,1,@albertsons,21,2,0.095238,1.098612,1,0.095238,0.285714,,0.666667,1
Albertsons,2021-10,1,@albertsons,18,2,0.111111,1.098612,1,0.111111,0.166667,0.111111,0.333333,0
Albertsons,2021-11,1,@albertsons,11,0,0.0,0.0,0,0.0,0.0,,0.636364,1
Albertsons,2021-12,1,@albertsons,23,6,0.26087,1.94591,1,0.26087,0.5,0.26087,0.478261,0
Albertsons,2022-01,1,@albertsons,18,1,0.055556,0.693147,1,0.055556,0.125,,0.555556,1
Albertsons,2022-02,1,@albertsons,14,2,0.142857,1.098612,1,0.142857,0.25,0.142857,0.428571,0
Albertsons,2022-03,1,@albertsons,7,1,0.142857,0.693147,1,0.142857,0.333333,,0.571429,1
Albertsons,2022-04,1,@albertsons,4,0,0.0,0.0,0,0.0,,,1.0,1
Albertsons,2022-05,1,@albertsons,3,0,0.0,0.0,0,0.0,0.0,0.0,0.333333,0
Albertsons,2022-06,1,@albertsons,2,1,0.5,0.693147,1,0.5,1.0,,0.5,1
Albertsons,2022-07,1,@albertsons,1,0,0.0,0.0,0,0.0,,,1.0,1
Albertsons,2022-10,1,@albertsons,1,0,0.0,0.0,0,0.0,,,1.0,1
Albertsons,2022-11,1,@albertsons,2,1,0.5,0.693147,1,0.5,1.0,,0.5,1
