company_name,period,source_x_handle_count,source_x_handle_list,total_posts,affiliative_count,self_enhancing_count,aggressive_count,self_defeating_count,affiliative_share,self_enhancing_share,aggressive_share,self_defeating_share,aggressive_minus_other_humor_share,rare_negative_humor_count,rare_negative_humor_share,v2_aggressive_candidate_count,v1_v2_disagreement_candidate_count,rare_class_candidate_count
AT&T,2022-02,1,@ATT,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,7,0
AT&T,2023-07,1,@ATT,9,2,0,0,0,0.222222,0.0,0.0,0.0,-0.222222,0,0.0,1,7,0
AT&T,2023-08,1,@ATT,31,2,2,0,0,0.064516,0.064516,0.0,0.0,-0.129032,0,0.0,1,7,0
AT&T,2023-09,1,@ATT,25,4,1,0,0,0.16,0.04,0.0,0.0,-0.2,0,0.0,1,7,0
AT&T,2023-10,1,@ATT,10,1,1,0,0,0.1,0.1,0.0,0.0,-0.2,0,0.0,1,7,0
AT&T,2023-11,1,@ATT,14,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,7,0
AT&T,2023-12,1,@ATT,6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,7,0
AT&T,2024-01,1,@ATT,28,3,1,0,0,0.107143,0.035714,0.0,0.0,-0.142857,0,0.0,1,7,0
AT&T,2024-02,1,@ATT,30,6,2,0,0,0.2,0.066667,0.0,0.0,-0.266667,0,0.0,1,7,0
AT&T,2024-03,1,@ATT,5,1,0,0,0,0.2,0.0,0.0,0.0,-0.2,0,0.0,1,7,0
AT&T,2024-04,1,@ATT,31,0,1,0,0,0.0,0.032258,0.0,0.0,-0.032258,0,0.0,1,7,0
AT&T,2024-05,1,@ATT,9,3,2,0,0,0.333333,0.222222,0.0,0.0,-0.555555,0,0.0,1,7,0
AT&T,2024-06,1,@ATT,12,4,1,0,0,0.333333,0.083333,0.0,0.0,-0.416666,0,0.0,1,7,0
AT&T,2024-07,1,@ATT,22,2,5,0,0,0.090909,0.227273,0.0,0.0,-0.318182,0,0.0,1,7,0
AT&T,2024-08,1,@ATT,3,0,3,0,0,0.0,1.0,0.0,0.0,-1.0,0,0.0,1,7,0
AT&T,2024-09,1,@ATT,26,1,4,0,0,0.038462,0.153846,0.0,0.0,-0.192308,0,0.0,1,7,0
AT&T,2024-10,1,@ATT,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,7,0
AT&T,2024-11,1,@ATT,27,1,2,0,0,0.037037,0.074074,0.0,0.0,-0.111111,0,0.0,1,7,0
AT&T,2024-12,1,@ATT,26,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,7,0
AT&T,2025-01,1,@ATT,30,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,7,0
AT&T,2025-02,1,@ATT,20,2,2,0,0,0.1,0.1,0.0,0.0,-0.2,0,0.0,1,7,0
