company_name,period,source_x_handle_count,source_x_handle_list,total_posts,humor_count,non_humor_count,ambiguous_count,ambiguity_rate,humor_share,humor_share_ambiguity_as_zero,humor_share_ambiguity_excluded,humor_share_ambiguity_as_missing,log_humor_count,humor_presence_any,affiliative_count,self_enhancing_count,aggressive_count,self_defeating_count,affiliative_share,self_enhancing_share,aggressive_share,self_defeating_share,rare_negative_humor_count,rare_negative_humor_share,aggressive_minus_other_humor_share,aggressive_humor_usage_intensity,aggressive_humor_usage_intensity_sq,log_aggressive_count,aggressive_presence_any,aggressive_share_ambiguity_excluded,rare_negative_humor_usage_intensity,rare_negative_humor_usage_intensity_sq,humor_share_x_aggressive_intensity,humor_share_x_aggressive_intensity_sq,aggressive_presence_x_aggressive_intensity,aggressive_presence_x_aggressive_intensity_sq,v2_aggressive_candidate_count,v1_v2_disagreement_candidate_count,rare_class_candidate_count,high_ambiguity_flag,no_human_label_flag
AT&T,2024-10,1,@ATT,10,0,5,5,0.5,0.0,0.0,0.0,,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7,0,1,1
AT&T,2024-11,1,@ATT,27,3,5,19,0.703704,0.111111,0.111111,0.375,,1.386294,1,1,2,0,0,0.037037,0.074074,0.0,0.0,0,0.0,-0.111111,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7,0,1,1
AT&T,2024-12,1,@ATT,26,0,11,15,0.576923,0.0,0.0,0.0,,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7,0,1,1
AT&T,2025-01,1,@ATT,30,0,14,16,0.533333,0.0,0.0,0.0,,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7,0,1,1
AT&T,2025-02,1,@ATT,20,4,7,9,0.45,0.2,0.2,0.363636,0.2,1.609438,1,2,2,0,0,0.1,0.1,0.0,0.0,0,0.0,-0.2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7,0,0,1
AT&T,2025-03,1,@ATT,13,4,4,5,0.384615,0.307692,0.307692,0.5,0.307692,1.609438,1,0,3,1,0,0.0,0.230769,0.076923,0.0,1,0.076923,-0.153846,0.076923,0.005917148,0.693147,1,0.125,0.076923,0.005917148,0.023668592,0.001820659,0.076923,0.005917148,1,7,0,0,1
AT&T,2025-04,1,@ATT,23,4,5,14,0.608696,0.173913,0.173913,0.444444,,1.609438,1,1,3,0,0,0.043478,0.130435,0.0,0.0,0,0.0,-0.173913,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7,0,1,1
AT&T,2025-05,1,@ATT,56,8,23,25,0.446429,0.142857,0.142857,0.258065,0.142857,2.197225,1,1,7,0,0,0.017857,0.125,0.0,0.0,0,0.0,-0.142857,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7,0,0,1
AT&T,2025-06,1,@ATT,22,3,3,16,0.727273,0.136364,0.136364,0.5,,1.386294,1,0,3,0,0,0.0,0.136364,0.0,0.0,0,0.0,-0.136364,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7,0,1,1
AT&T,2025-07,1,@ATT,30,6,11,13,0.433333,0.2,0.2,0.352941,0.2,1.94591,1,3,3,0,0,0.1,0.1,0.0,0.0,0,0.0,-0.2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7,0,0,1
AT&T,2025-08,1,@ATT,37,3,12,22,0.594595,0.081081,0.081081,0.2,,1.386294,1,2,1,0,0,0.054054,0.027027,0.0,0.0,0,0.0,-0.081081,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7,0,1,1
AT&T,2025-09,1,@ATT,52,13,12,27,0.519231,0.25,0.25,0.52,,2.639057,1,5,8,0,0,0.096154,0.153846,0.0,0.0,0,0.0,-0.25,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7,0,1,1
AT&T,2025-10,1,@ATT,18,2,11,5,0.277778,0.111111,0.111111,0.153846,0.111111,1.098612,1,1,1,0,0,0.055556,0.055556,0.0,0.0,0,0.0,-0.111112,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7,0,0,1
AT&T,2025-11,1,@ATT,20,2,6,12,0.6,0.1,0.1,0.25,,1.098612,1,2,0,0,0,0.1,0.0,0.0,0.0,0,0.0,-0.1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7,0,1,1
AT&T,2025-12,1,@ATT,22,3,7,12,0.545455,0.136364,0.136364,0.3,,1.386294,1,1,2,0,0,0.045455,0.090909,0.0,0.0,0,0.0,-0.136364,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7,0,1,1
AT&T,2026-01,1,@ATT,29,4,12,13,0.448276,0.137931,0.137931,0.25,0.137931,1.609438,1,0,3,0,1,0.0,0.103448,0.0,0.034483,1,0.034483,-0.137931,0.0,0.0,0.0,0,0.0,0.034483,0.001189077,0.0,0.0,0.0,0.0,1,7,0,0,1
AT&T,2026-02,1,@ATT,59,12,18,29,0.491525,0.20339,0.20339,0.4,0.20339,2.564949,1,5,7,0,0,0.084746,0.118644,0.0,0.0,0,0.0,-0.20339,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7,0,0,1
AT&T,2026-03,1,@ATT,33,5,10,18,0.545455,0.151515,0.151515,0.333333,,1.791759,1,2,3,0,0,0.060606,0.090909,0.0,0.0,0,0.0,-0.151515,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7,0,1,1
AT&T,2026-04,1,@ATT,75,16,15,44,0.586667,0.213333,0.213333,0.516129,,2.833213,1,8,8,0,0,0.106667,0.106667,0.0,0.0,0,0.0,-0.213334,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7,0,1,1
