seed,total_rows,aggressive,affiliative,self_enhancing,self_defeating,batch1_rows,wendys_rows
0,156,39,39,39,39,92,64
1,156,39,39,39,39,94,62
2,156,39,39,39,39,92,64
3,156,39,39,39,39,95,61
4,156,39,39,39,39,109,47
5,156,39,39,39,39,103,53
6,156,39,39,39,39,92,64
7,156,39,39,39,39,102,54
8,156,39,39,39,39,98,58
9,156,39,39,39,39,96,60
10,156,39,39,39,39,103,53
11,156,39,39,39,39,101,55
12,156,39,39,39,39,97,59
13,156,39,39,39,39,94,62
14,156,39,39,39,39,99,57
15,156,39,39,39,39,104,52
16,156,39,39,39,39,99,57
17,156,39,39,39,39,95,61
18,156,39,39,39,39,92,64
19,156,39,39,39,39,103,53
20,156,39,39,39,39,99,57
21,156,39,39,39,39,87,69
22,156,39,39,39,39,100,56
23,156,39,39,39,39,95,61
24,156,39,39,39,39,100,56
25,156,39,39,39,39,98,58
26,156,39,39,39,39,97,59
27,156,39,39,39,39,96,60
28,156,39,39,39,39,100,56
29,156,39,39,39,39,94,62
