seed,total_rows,aggressive,other,batch1_rows,wendys_rows
0,278,139,139,154,124
1,278,139,139,153,125
2,278,139,139,150,128
3,278,139,139,147,131
4,278,139,139,158,120
5,278,139,139,155,123
6,278,139,139,148,130
7,278,139,139,158,120
8,278,139,139,158,120
9,278,139,139,150,128
10,278,139,139,153,125
11,278,139,139,149,129
12,278,139,139,151,127
13,278,139,139,143,135
14,278,139,139,148,130
15,278,139,139,156,122
16,278,139,139,152,126
17,278,139,139,151,127
18,278,139,139,151,127
19,278,139,139,154,124
20,278,139,139,148,130
21,278,139,139,158,120
22,278,139,139,154,124
23,278,139,139,156,122
24,278,139,139,152,126
25,278,139,139,151,127
26,278,139,139,143,135
27,278,139,139,149,129
28,278,139,139,151,127
29,278,139,139,153,125
