hypothesis,measurement_basis,model_type,key_variable,coefficient,se,p_value,stars,n_obs,adj_r_squared,df_resid,direction,significant_p05,status
H1,batch1_human_coded,plain_ols,human_humor_presence,1.24004,0.134358,0.0,***,1482,0.070259,1477,positive,True,success
H1,batch1_human_coded,time_fe_year_month,human_humor_presence,1.018589,0.124173,0.0,***,1482,0.275422,1363,positive,True,success
H1,batch1_human_coded,firm_dummy_only,human_humor_presence,0.227296,0.084014,0.006905,***,1482,0.716523,1381,positive,True,success
H1,batch1_human_coded,firm_dummy_year_month,human_humor_presence,0.171119,0.130037,0.188826,ns,1482,0.760956,481,positive,False,success
H1,full_sample_predicted,plain_ols,h1_humor_presence_pred_t50,1.145154,0.01674,0.0,***,68039,0.079728,68034,positive,True,success
H1,full_sample_predicted,time_fe_year_month,h1_humor_presence_pred_t50,1.097634,0.015878,0.0,***,68039,0.195951,67902,positive,True,success
H1,full_sample_predicted,firm_dummy_only,h1_humor_presence_pred_t50,0.253389,0.012224,0.0,***,68039,0.632739,67936,positive,True,success
H1,full_sample_predicted,firm_dummy_year_month,h1_humor_presence_pred_t50,0.209034,0.011588,0.0,***,68039,0.704164,64265,positive,True,success
H2_1,batch1_human_coded,plain_ols,aggressive_vs_other,0.649363,0.423465,0.125656,ns,648,0.017209,643,positive,False,success
H2_1,batch1_human_coded,time_fe_year_month,aggressive_vs_other,0.738705,0.404797,0.06857,*,648,0.238144,542,positive,False,success
H2_1,batch1_human_coded,firm_dummy_only,aggressive_vs_other,0.115144,0.277796,0.678675,ns,648,0.652188,556,positive,False,success
H2_1,batch1_human_coded,firm_dummy_year_month,aggressive_vs_other,0.349255,0.478192,0.466248,ns,648,0.73471,158,positive,False,success
H2_1,full_sample_predicted,plain_ols,predicted_aggressive_vs_other,0.103452,0.030011,0.000567,***,28177,0.018734,28172,positive,True,success
H2_1,full_sample_predicted,time_fe_year_month,predicted_aggressive_vs_other,0.046519,0.027307,0.088475,*,28177,0.196541,28047,positive,False,success
H2_1,full_sample_predicted,firm_dummy_only,predicted_aggressive_vs_other,-0.071555,0.017226,3.3e-05,***,28177,0.688487,28076,negative,True,success
H2_1,full_sample_predicted,firm_dummy_year_month,predicted_aggressive_vs_other,-0.064106,0.01647,0.0001,***,28177,0.748682,25019,negative,True,success
H2_2,batch1_human_coded,plain_ols,aggressive,0.76056,0.437943,0.082927,*,648,0.016761,641,positive,False,success
H2_2,batch1_human_coded,time_fe_year_month,aggressive,0.783143,0.418342,0.061745,*,648,0.241279,540,positive,False,success
H2_2,batch1_human_coded,firm_dummy_only,aggressive,0.220593,0.290694,0.448265,ns,648,0.652946,554,positive,False,success
H2_2,batch1_human_coded,firm_dummy_year_month,aggressive,0.49896,0.499836,0.319705,ns,648,0.735532,156,positive,False,success
H2_2,full_sample_predicted,plain_ols,predicted_aggressive,0.125208,0.030454,3.9e-05,***,28177,0.019644,28170,positive,True,success
H2_2,full_sample_predicted,time_fe_year_month,predicted_aggressive,0.048176,0.027725,0.082284,*,28177,0.196712,28045,positive,False,success
H2_2,full_sample_predicted,firm_dummy_only,predicted_aggressive,-0.077539,0.01751,1e-05,***,28177,0.688505,28074,negative,True,success
H2_2,full_sample_predicted,firm_dummy_year_month,predicted_aggressive,-0.070074,0.016747,2.9e-05,***,28177,0.748714,25017,negative,True,success
H3,batch1_human_coded,plain_ols,predicted_aggressive_intensity,,,,,,,,,,not_applicable
H3,batch1_human_coded,time_fe_year_month,predicted_aggressive_intensity,,,,,,,,,,not_applicable
H3,batch1_human_coded,firm_dummy_only,predicted_aggressive_intensity,,,,,,,,,,not_applicable
H3,batch1_human_coded,firm_dummy_year_fe,predicted_aggressive_intensity,,,,,,,,,,not_applicable
H3,full_sample_predicted,plain_ols,predicted_aggressive_intensity,0.307199,0.376623,0.414745,ns,3532,0.105566,3526,positive,False,success
H3,full_sample_predicted,time_fe_year_month,predicted_aggressive_intensity,0.519745,0.371608,0.162013,ns,3532,0.179917,3397,positive,False,success
H3,full_sample_predicted,firm_dummy_only,predicted_aggressive_intensity,-2.055619,0.209159,0.0,***,3532,0.772796,3430,negative,True,success
H3,full_sample_predicted,firm_dummy_year_fe,predicted_aggressive_intensity,-0.971195,0.186651,0.0,***,3532,0.856904,3096,negative,True,success
