hypothesis,measurement_basis,model_type,dependent_variable,key_variable,coefficient,classical_ols_se,t_stat,p_value,stars,n_obs,n_firms,reference_company_id,reference_company_identifier,coef_text_length,p_text_length,coef_hashtag_count,p_hashtag_count,coef_mention_count,p_mention_count,r_squared,adj_r_squared,df_resid,rank,n_cells,n_joint_cells,status,interpretation_level,controls_included,control_variables,emoji_count_used,company_id_used_as_numeric,c_company_formula_used,se_type,limitation
H2_1,batch1_human_coded,plain_ols,log1p_total_engagement,aggressive_vs_other,0.649363,0.423465,1.5335,0.125656,ns,648,,,,0.000672,0.150595,-0.41218,0.001183,0.016667,0.891922,0.023285,0.017209,643,5,,,success,preliminary_diagnostic,true,"text_length,hashtag_count,mention_count",false,false,false,classical_ols,n_aggressive_batch1=44_low_power
H2_1,batch1_human_coded,time_fe_year_month,log1p_total_engagement,aggressive_vs_other,0.738705,0.404797,1.8249,0.06857,*,648,,,,0.000122,0.778907,-0.309006,0.014734,0.034779,0.768885,0.361784,0.238144,542,4,102,,success,preliminary_diagnostic,true,"text_length,hashtag_count,mention_count",false,false,false,classical_ols,n_aggressive_batch1=44_low_power
H2_1,batch1_human_coded,firm_dummy_only,log1p_total_engagement,aggressive_vs_other,0.115144,0.277796,0.4145,0.678675,ns,648,88,97,Walt Disney,-3.8e-05,0.896656,0.191197,0.042603,-0.099832,0.216778,0.701108,0.652188,556,92,,,success,preliminary_diagnostic,true,"text_length,hashtag_count,mention_count",false,false,false,classical_ols,n_aggressive_batch1=44_low_power
H2_1,batch1_human_coded,firm_dummy_year_month,log1p_total_engagement,aggressive_vs_other,0.349255,0.478192,0.7304,0.466248,ns,648,,,,-7e-05,0.88816,0.409343,0.018489,-0.212493,0.122543,0.935215,0.73471,158,4,,485,success,preliminary_diagnostic,true,"text_length,hashtag_count,mention_count",false,false,false,classical_ols,n_aggressive_batch1=44_low_power
H2_1,full_sample_predicted,plain_ols,log1p_total_engagement,predicted_aggressive_vs_other,0.103452,0.030011,3.4472,0.000567,***,28177,,,,0.001191,0.0,-0.272954,0.0,-0.050166,0.003958,0.018873,0.018734,28172,5,,,success,preliminary_diagnostic,true,"text_length,hashtag_count,mention_count",false,false,false,classical_ols,classifier_NOT_A_CANDIDATE
H2_1,full_sample_predicted,time_fe_year_month,log1p_total_engagement,predicted_aggressive_vs_other,0.046519,0.027307,1.7036,0.088475,*,28177,,,,-8.4e-05,0.31445,-0.228278,0.0,0.023737,0.144001,0.20022,0.196541,28047,4,126,,success,preliminary_diagnostic,true,"text_length,hashtag_count,mention_count",false,false,false,classical_ols,classifier_NOT_A_CANDIDATE
H2_1,full_sample_predicted,firm_dummy_only,log1p_total_engagement,predicted_aggressive_vs_other,-0.071555,0.017226,-4.1538,3.3e-05,***,28177,97,45,Home Depot,0.000879,0.0,0.041269,1e-06,-0.154038,0.0,0.689592,0.688487,28076,101,,,success,preliminary_diagnostic,true,"text_length,hashtag_count,mention_count",false,false,false,classical_ols,classifier_NOT_A_CANDIDATE
H2_1,full_sample_predicted,firm_dummy_year_month,log1p_total_engagement,predicted_aggressive_vs_other,-0.064106,0.01647,-3.8923,0.0001,***,28177,,,,0.000779,0.0,0.063667,0.0,-0.129652,0.0,0.776841,0.748682,25019,4,,3153,success,preliminary_diagnostic,true,"text_length,hashtag_count,mention_count",false,false,false,classical_ols,classifier_NOT_A_CANDIDATE
