hypothesis,measurement_basis,model_type,dependent_variable,key_variable,coefficient,classical_ols_se,t_stat,p_value,stars,n_obs,n_firms,reference_company_id,reference_company_identifier,coef_text_length,p_text_length,coef_hashtag_count,p_hashtag_count,coef_mention_count,p_mention_count,r_squared,adj_r_squared,df_resid,rank,n_cells,n_joint_cells,status,interpretation_level,controls_included,control_variables,emoji_count_used,company_id_used_as_numeric,c_company_formula_used,se_type,limitation
H1,batch1_human_coded,plain_ols,log1p_total_engagement,human_humor_presence,1.24004,0.134358,9.2294,0.0,***,1482,,,,0.001345,0.000311,-0.364346,6e-06,-0.13316,0.061727,0.07277,0.070259,1477,5,,,success,preliminary_diagnostic,true,"text_length,hashtag_count,mention_count",false,false,false,classical_ols,
H1,batch1_human_coded,time_fe_year_month,log1p_total_engagement,human_humor_presence,1.018589,0.124173,8.203,0.0,***,1482,,,,0.000405,0.239006,-0.329875,1.4e-05,-0.023909,0.72778,0.333153,0.275422,1363,4,115,,success,preliminary_diagnostic,true,"text_length,hashtag_count,mention_count",false,false,false,classical_ols,
H1,batch1_human_coded,firm_dummy_only,log1p_total_engagement,human_humor_presence,0.227296,0.084014,2.7055,0.006905,***,1482,97,45,Home Depot,0.000493,0.023941,0.142152,0.005989,-0.128586,0.00275,0.735664,0.716523,1381,101,,,success,preliminary_diagnostic,true,"text_length,hashtag_count,mention_count",false,false,false,classical_ols,
H1,batch1_human_coded,firm_dummy_year_month,log1p_total_engagement,human_humor_presence,0.171119,0.130037,1.3159,0.188826,ns,1482,,,,0.000274,0.428754,0.295086,0.001103,-0.10374,0.13271,0.922363,0.760956,481,4,,996,success,preliminary_diagnostic,true,"text_length,hashtag_count,mention_count",false,false,false,classical_ols,
H1,full_sample_predicted,plain_ols,log1p_total_engagement,h1_humor_presence_pred_t50,1.145154,0.01674,68.408,0.0,***,68039,,,,0.00041,0.0,-0.198932,0.0,-0.099453,0.0,0.079782,0.079728,68034,5,,,success,preliminary_diagnostic,true,"text_length,hashtag_count,mention_count",false,false,false,classical_ols,h1_iv_is_classifier_predicted
H1,full_sample_predicted,time_fe_year_month,log1p_total_engagement,h1_humor_presence_pred_t50,1.097634,0.015878,69.1286,0.0,***,68039,,,,-0.000291,2.9e-05,-0.145254,0.0,-0.061762,0.0,0.197559,0.195951,67902,4,133,,success,preliminary_diagnostic,true,"text_length,hashtag_count,mention_count",false,false,false,classical_ols,h1_iv_is_classifier_predicted
H1,full_sample_predicted,firm_dummy_only,log1p_total_engagement,h1_humor_presence_pred_t50,0.253389,0.012224,20.7282,0.0,***,68039,99,40,General Dynamics,0.001254,0.0,0.078193,0.0,-0.147771,0.0,0.63329,0.632739,67936,103,,,success,preliminary_diagnostic,true,"text_length,hashtag_count,mention_count",false,false,false,classical_ols,h1_iv_is_classifier_predicted
H1,full_sample_predicted,firm_dummy_year_month,log1p_total_engagement,h1_humor_presence_pred_t50,0.209034,0.011588,18.0384,0.0,***,68039,,,,0.001191,0.0,0.081895,0.0,-0.134498,0.0,0.720569,0.704164,64265,4,,3769,success,preliminary_diagnostic,true,"text_length,hashtag_count,mention_count",false,false,false,classical_ols,h1_iv_is_classifier_predicted
