model_id,eval_scope,eval_mode,n_rows,macro_f1,weighted_f1,accuracy
type_model_a_batch1_only,train_batch1_test_wendys,oof_stratified_5fold_cv,278,0.2966,0.352,0.3597
type_model_b_wendys_only,train_wendys_test_batch1,oof_stratified_5fold_cv,648,0.2097,0.3376,0.3951
