model_id,eval_scope,eval_mode,n_rows,macro_f1,weighted_f1,accuracy
type_model_a_batch1_only,all_training_rows,oof_stratified_5fold_cv,648,0.3885,0.5469,0.5571
type_model_b_batch1_plus_wendys_human,all_training_rows,oof_stratified_5fold_cv,926,0.4194,0.5157,0.5184
