model_id,eval_scope,eval_mode,n_rows,macro_f1,weighted_f1,accuracy
type_model_a_batch1_only,batch1_fortune100,oof_stratified_5fold_cv,648,0.3885,0.5469,0.5571
type_model_b_batch1_plus_wendys_human,batch1_fortune100,oof_stratified_5fold_cv,648,0.4134,0.5421,0.5463
type_model_b_batch1_plus_wendys_human,wendys_human_type,oof_stratified_5fold_cv,278,0.3807,0.4558,0.4532
