model_id,eval_scope,actual_label,predicted_label,count
type_model_a_batch1_only,all_training_rows,aggressive,aggressive,6
type_model_a_batch1_only,all_training_rows,aggressive,affiliative,10
type_model_a_batch1_only,all_training_rows,aggressive,self-enhancing,28
type_model_a_batch1_only,all_training_rows,aggressive,self-defeating,0
type_model_a_batch1_only,all_training_rows,affiliative,aggressive,6
type_model_a_batch1_only,all_training_rows,affiliative,affiliative,206
type_model_a_batch1_only,all_training_rows,affiliative,self-enhancing,109
type_model_a_batch1_only,all_training_rows,affiliative,self-defeating,0
type_model_a_batch1_only,all_training_rows,self-enhancing,aggressive,9
type_model_a_batch1_only,all_training_rows,self-enhancing,affiliative,103
type_model_a_batch1_only,all_training_rows,self-enhancing,self-enhancing,146
type_model_a_batch1_only,all_training_rows,self-enhancing,self-defeating,1
type_model_a_batch1_only,all_training_rows,self-defeating,aggressive,4
type_model_a_batch1_only,all_training_rows,self-defeating,affiliative,4
type_model_a_batch1_only,all_training_rows,self-defeating,self-enhancing,13
type_model_a_batch1_only,all_training_rows,self-defeating,self-defeating,3
type_model_b_batch1_plus_wendys_human,all_training_rows,aggressive,aggressive,71
type_model_b_batch1_plus_wendys_human,all_training_rows,aggressive,affiliative,31
type_model_b_batch1_plus_wendys_human,all_training_rows,aggressive,self-enhancing,28
type_model_b_batch1_plus_wendys_human,all_training_rows,aggressive,self-defeating,9
type_model_b_batch1_plus_wendys_human,all_training_rows,affiliative,aggressive,51
type_model_b_batch1_plus_wendys_human,all_training_rows,affiliative,affiliative,262
type_model_b_batch1_plus_wendys_human,all_training_rows,affiliative,self-enhancing,107
type_model_b_batch1_plus_wendys_human,all_training_rows,affiliative,self-defeating,7
type_model_b_batch1_plus_wendys_human,all_training_rows,self-enhancing,aggressive,35
type_model_b_batch1_plus_wendys_human,all_training_rows,self-enhancing,affiliative,137
type_model_b_batch1_plus_wendys_human,all_training_rows,self-enhancing,self-enhancing,142
type_model_b_batch1_plus_wendys_human,all_training_rows,self-enhancing,self-defeating,7
type_model_b_batch1_plus_wendys_human,all_training_rows,self-defeating,aggressive,16
type_model_b_batch1_plus_wendys_human,all_training_rows,self-defeating,affiliative,12
type_model_b_batch1_plus_wendys_human,all_training_rows,self-defeating,self-enhancing,6
type_model_b_batch1_plus_wendys_human,all_training_rows,self-defeating,self-defeating,5
type_model_a_batch1_only,train_batch1_test_wendys,aggressive,aggressive,22
type_model_a_batch1_only,train_batch1_test_wendys,aggressive,affiliative,27
type_model_a_batch1_only,train_batch1_test_wendys,aggressive,self-enhancing,42
type_model_a_batch1_only,train_batch1_test_wendys,aggressive,self-defeating,4
type_model_a_batch1_only,train_batch1_test_wendys,affiliative,aggressive,15
type_model_a_batch1_only,train_batch1_test_wendys,affiliative,affiliative,41
type_model_a_batch1_only,train_batch1_test_wendys,affiliative,self-enhancing,49
type_model_a_batch1_only,train_batch1_test_wendys,affiliative,self-defeating,1
type_model_a_batch1_only,train_batch1_test_wendys,self-enhancing,aggressive,10
type_model_a_batch1_only,train_batch1_test_wendys,self-enhancing,affiliative,15
type_model_a_batch1_only,train_batch1_test_wendys,self-enhancing,self-enhancing,36
type_model_a_batch1_only,train_batch1_test_wendys,self-enhancing,self-defeating,1
type_model_a_batch1_only,train_batch1_test_wendys,self-defeating,aggressive,5
type_model_a_batch1_only,train_batch1_test_wendys,self-defeating,affiliative,4
type_model_a_batch1_only,train_batch1_test_wendys,self-defeating,self-enhancing,5
type_model_a_batch1_only,train_batch1_test_wendys,self-defeating,self-defeating,1
type_model_b_wendys_only,train_wendys_test_batch1,aggressive,aggressive,20
type_model_b_wendys_only,train_wendys_test_batch1,aggressive,affiliative,21
type_model_b_wendys_only,train_wendys_test_batch1,aggressive,self-enhancing,1
type_model_b_wendys_only,train_wendys_test_batch1,aggressive,self-defeating,2
type_model_b_wendys_only,train_wendys_test_batch1,affiliative,aggressive,84
type_model_b_wendys_only,train_wendys_test_batch1,affiliative,affiliative,227
type_model_b_wendys_only,train_wendys_test_batch1,affiliative,self-enhancing,9
type_model_b_wendys_only,train_wendys_test_batch1,affiliative,self-defeating,1
type_model_b_wendys_only,train_wendys_test_batch1,self-enhancing,aggressive,77
type_model_b_wendys_only,train_wendys_test_batch1,self-enhancing,affiliative,172
type_model_b_wendys_only,train_wendys_test_batch1,self-enhancing,self-enhancing,9
type_model_b_wendys_only,train_wendys_test_batch1,self-enhancing,self-defeating,1
type_model_b_wendys_only,train_wendys_test_batch1,self-defeating,aggressive,13
type_model_b_wendys_only,train_wendys_test_batch1,self-defeating,affiliative,7
type_model_b_wendys_only,train_wendys_test_batch1,self-defeating,self-enhancing,4
type_model_b_wendys_only,train_wendys_test_batch1,self-defeating,self-defeating,0
