sample,combo,n,k_full,df_resid,R2,adjR2,b_aggressive,se_aggressive,t_aggressive,p_aggressive,stars_agg,b_affiliative,se_affiliative,p_affiliative,stars_aff,b_self_enhancing,se_self_enhancing,p_self_enhancing,stars_se,b_self_defeating,se_self_defeating,p_self_defeating,stars_sd,rank_deficient
Full_sample,year,68039,18,68021,0.150141,0.149929,1.95483,0.040462,48.3132,0.0,***,0.823109,0.020265,0.0,***,1.347534,0.025082,0.0,***,2.261393,0.085511,0.0,***,False
Full_sample,month,68039,16,68023,0.088855,0.088654,1.92116,0.04175,46.0162,0.0,***,0.809187,0.020903,0.0,***,1.437155,0.025902,0.0,***,2.183189,0.088344,0.0,***,False
Full_sample,week,68039,57,67982,0.094481,0.093735,1.923389,0.04166,46.1685,0.0,***,0.8145,0.020884,0.0,***,1.441237,0.02586,0.0,***,2.189877,0.088134,0.0,***,False
Full_sample,date,68039,3601,64438,0.266804,0.225842,1.776847,0.040612,43.7515,0.0,***,0.781927,0.020343,0.0,***,1.316844,0.025017,0.0,***,2.058079,0.08639,0.0,***,False
Full_sample,hour,68039,28,68011,0.098024,0.097666,1.858337,0.041623,44.6466,0.0,***,0.7627,0.020876,0.0,***,1.379474,0.025844,0.0,***,2.120135,0.087947,0.0,***,False
Full_sample,year+month,68039,29,68010,0.153702,0.153353,1.953347,0.040407,48.342,0.0,***,0.821607,0.020241,0.0,***,1.353559,0.025056,0.0,***,2.267938,0.085352,0.0,***,False
Full_sample,year+week,68039,70,67969,0.157178,0.156322,1.950411,0.040365,48.3195,0.0,***,0.823307,0.020238,0.0,***,1.357139,0.02504,0.0,***,2.264493,0.085241,0.0,***,False
Full_sample,year+date,68039,3601,64438,0.266804,0.225842,1.776847,0.040612,43.7515,0.0,***,0.781927,0.020343,0.0,***,1.316844,0.025017,0.0,***,2.058079,0.08639,0.0,***,True
Full_sample,year+hour,68039,41,67998,0.165886,0.165395,1.889783,0.040191,47.0202,0.0,***,0.778908,0.02017,0.0,***,1.301333,0.024935,0.0,***,2.207774,0.084781,0.0,***,False
Full_sample,month+week,68039,68,67971,0.094755,0.093862,1.924091,0.041666,46.1784,0.0,***,0.814567,0.02089,0.0,***,1.442191,0.025864,0.0,***,2.189271,0.088136,0.0,***,False
