sample,combo,n,k_full,df_resid,R2,adjR2,b_aggressive,se_aggressive,t_aggressive,p_aggressive,stars_agg,b_affiliative,se_affiliative,p_affiliative,stars_aff,b_self_enhancing,se_self_enhancing,p_self_enhancing,stars_se,b_self_defeating,se_self_defeating,p_self_defeating,stars_sd,rank_deficient
Human_coded,year,3574,16,3558,0.209,0.205665,2.61527,0.200414,13.0493,0.0,***,0.757447,0.114188,0.0,***,0.854498,0.127953,0.0,***,2.086946,0.35835,0.0,***,False
Human_coded,month,3574,16,3558,0.108235,0.104476,2.848142,0.211906,13.4406,0.0,***,0.892867,0.121008,0.0,***,1.143606,0.135066,0.0,***,2.186609,0.380224,0.0,***,False
Human_coded,week,3574,57,3517,0.124073,0.110126,2.831708,0.212889,13.3014,0.0,***,0.895519,0.121344,0.0,***,1.143299,0.135199,0.0,***,2.247012,0.381933,0.0,***,False
Human_coded,date,3574,1685,1889,0.624861,0.290433,2.276911,0.268643,8.4756,0.0,***,0.561126,0.153684,0.000268,***,0.743587,0.162526,5e-06,***,1.631531,0.526812,0.001984,***,False
Human_coded,hour,3574,28,3546,0.095844,0.088959,2.845014,0.213848,13.3039,0.0,***,0.836898,0.12242,0.0,***,1.117819,0.136772,0.0,***,2.075104,0.383973,0.0,***,False
Human_coded,year+month,3574,27,3547,0.227953,0.222294,2.591544,0.198938,13.0269,0.0,***,0.762148,0.113185,0.0,***,0.863156,0.126877,0.0,***,2.149069,0.354964,0.0,***,False
Human_coded,year+week,3574,68,3506,0.238814,0.224268,2.574021,0.200171,12.8591,0.0,***,0.75951,0.113779,0.0,***,0.868518,0.127269,0.0,***,2.208354,0.357324,0.0,***,False
Human_coded,year+date,3574,1685,1889,0.624861,0.290433,2.276911,0.268643,8.4756,0.0,***,0.561126,0.153684,0.000268,***,0.743587,0.162526,5e-06,***,1.631531,0.526812,0.001984,***,True
Human_coded,year+hour,3574,39,3535,0.230404,0.222131,2.596865,0.199046,13.0466,0.0,***,0.73377,0.113638,0.0,***,0.835817,0.127287,0.0,***,2.090128,0.355594,0.0,***,False
Human_coded,month+week,3574,68,3506,0.127844,0.111177,2.81989,0.212963,13.2412,0.0,***,0.899751,0.12146,0.0,***,1.135066,0.135262,0.0,***,2.252869,0.382082,0.0,***,False
