humor_type,post_count,share,average_engagement,median_engagement,p75_engagement,p90_engagement,max_engagement,average_humor_score
Affiliative humor,17,0.006067094932191292,5562.705882352941,490.0,862.0,16211.400000000007,50315.0,0.34570393229232116
Aggressive humor,24,0.008565310492505354,4044.9166666666665,1692.0,4470.75,13758.499999999998,15940.0,0.37929671443998814
Non-humorous brand message,1750,0.6245538900785154,9180.922857142858,954.0,4026.75,11488.000000000007,991783.0,0.44924585533993583
Self-defeating humor,14,0.004996431120628123,13048.142857142857,2270.5,5203.25,39391.10000000004,99388.0,0.32279674283095766
Self-enhancing humor,997,0.35581727337615987,3241.8335005015047,658.0,2576.0,8081.599999999997,102313.0,0.4815093464065818
