audit_reason,brand,post_id,created_at,tweet_url,text,sentiment_label,sentiment_score,humor_type,humor_score,total_engagement,is_viral,human_sentiment_label,human_humor_type,human_notes
low_confidence,Wendy's,1248677192059564034,Fri Apr 10 18:20:16 +0000 2020,https://x.com/Wendys/status/1248677192059564034,"@Wendys one time i was supposed to meet girl at the movies, she quit replying 30 minutes before the movie. i show up to the movies lookin for her and she was there w another dude",negative,0.5190532803535461,Affiliative humor,0.2068440020084381,74,0,,,
low_confidence,Wendy's,1248681442474889216,Fri Apr 10 18:37:09 +0000 2020,https://x.com/Wendys/status/1248681442474889216,@Wendys i was ghosted twice by a guy who worked at mcdonalds his name was jordan,negative,0.511951744556427,Self-enhancing humor,0.21477684378623962,18,0,,,
low_confidence,Wendy's,1507071241999560707,Thu Mar 24 19:05:58 +0000 2022,https://x.com/Wendys/status/1507071241999560707,"After reviewing the play, we see a good clean block.",positive,0.5998483896255493,Non-humorous brand message,0.21665418148040771,518,0,,,
low_confidence,Wendy's,2041270386478780749,Mon Apr 06 21:42:39 +0000 2026,https://x.com/Wendys/status/2041270386478780749,ONLY A FEW HOURS UNTIL SOMEONE DUNKS THEIR WAY INTO AMERICAN HISTORY,negative,0.5899708271026611,Self-enhancing humor,0.22044722735881805,182,0,,,
low_confidence,Wendy's,1406047214963728385,Sat Jun 19 00:32:33 +0000 2021,https://x.com/Wendys/status/1406047214963728385,"If someone sees a Mr. Meeseeks walking around 14645 Roscoe Blvd, Panorama City, CA, please let him know that his break is over. The sooner he finishes his shift, the sooner he can disappear.",negative,0.5409601330757141,Self-enhancing humor,0.22616952657699585,15847,0,,,
low_confidence,Wendy's,1650820225728741378,Tue Apr 25 11:13:07 +0000 2023,https://x.com/Wendys/status/1650820225728741378,Hey @Wendys..... what's happening on your fb,negative,0.6408724188804626,Non-humorous brand message,0.22711139917373657,19,0,,,
low_confidence,Wendy's,1256475023209979910,Sat May 02 06:46:04 +0000 2020,https://x.com/Wendys/status/1256475023209979910,apparently if you constantly catch the clock at 11:11 the universe is trying to tell you something but what if i constantly catch the clock at 4:44 should i go to wendy’s,negative,0.4866538941860199,Self-enhancing humor,0.2274235188961029,291,0,,,
low_confidence,Wendy's,1258049228502433792,Wed May 06 15:01:24 +0000 2020,https://x.com/Wendys/status/1258049228502433792,"For Cyber Search Day 3 we’ve hidden 9 codes totaling $1000 in free Wendy’s. You’ve got to be the first to DM us a code after we share the hint. And if you’re not first, well, we’re here all week… https://t.co/H9bM7rWONS",negative,0.49485647678375244,Non-humorous brand message,0.22883275151252747,447,0,,,
low_confidence,Wendy's,2039713760378487274,Thu Apr 02 14:37:11 +0000 2026,https://x.com/Wendys/status/2039713760378487274,We’ve got our final four! It’s time to decide who will make it to the championship and ultimately end up back on the menu. Get your votes in now! https://t.co/Yat9QPbeFA,negative,0.41905641555786133,Self-enhancing humor,0.23184633255004883,776,0,,,
low_confidence,Wendy's,1328791501787303946,Tue Nov 17 20:05:56 +0000 2020,https://x.com/Wendys/status/1328791501787303946,".@Wendys You just won the Chicken Wars! 
What are you gonna do next?",negative,0.9302674531936646,Non-humorous brand message,0.23344680666923523,3528,0,,,
low_confidence,Wendy's,1340008979494301696,Fri Dec 18 19:00:11 +0000 2020,https://x.com/Wendys/status/1340008979494301696,"First we wake, then we BACONATE! @MMATAband, you ready?",negative,0.5176486372947693,Self-defeating humor,0.23375104367733002,1042,0,,,
low_confidence,Wendy's,1248673823387500544,Fri Apr 10 18:06:53 +0000 2020,https://x.com/Wendys/status/1248673823387500544,"Sup guy down the street. Erica knows where you live. 
Until then, she's hanging out with her new friend Dave's Single.",negative,0.3795138895511627,Self-enhancing humor,0.23444592952728271,1411,0,,,
low_confidence,Wendy's,1414663884720508928,Mon Jul 12 19:12:07 +0000 2021,https://x.com/Wendys/status/1414663884720508928,"Double up on our Spicy Nugget Bois for one extra buck? Awwwww, yeah. It’s a BOGO $1.",negative,0.47430288791656494,Self-enhancing humor,0.23464703559875488,2097,0,,,
low_confidence,Wendy's,1293925856734261250,Thu Aug 13 15:02:18 +0000 2020,https://x.com/Wendys/status/1293925856734261250,"We had a presentation about the power of the internet. 
My professor said we can’t get 44,444 ppl to use the code SPICY444 on @Postmates to get a free 444 delivered to their door. Do you think they’re right?",negative,0.6564199924468994,Non-humorous brand message,0.23549020290374756,2778,0,,,
low_confidence,Wendy's,1333813017507749888,Tue Dec 01 16:39:39 +0000 2020,https://x.com/Wendys/status/1333813017507749888,How many Baconators would a Baconator Baconate if a Baconator could Baconate?,negative,0.6016618013381958,Self-enhancing humor,0.23564404249191284,2776,0,,,
low_confidence,Wendy's,2012226909820621147,Fri Jan 16 18:14:15 +0000 2026,https://x.com/Wendys/status/2012226909820621147,TENDYS VS CLOWNS. WHO U GOT? Streaming some College Football ‘26 later today on twitch https://t.co/FJANT6bsl5,negative,0.5401206016540527,Non-humorous brand message,0.23589861392974854,166,0,,,
low_confidence,Wendy's,1276283358692216833,Thu Jun 25 22:37:19 +0000 2020,https://x.com/Wendys/status/1276283358692216833,We know everything can’t be fixed at once. But we can continue to press forward and push for change one day at a time.,negative,0.40087929368019104,Non-humorous brand message,0.23692066967487335,1953,0,,,
low_confidence,Wendy's,1441107722926104591,Thu Sep 23 18:30:30 +0000 2021,https://x.com/Wendys/status/1441107722926104591,"Don’t you ever take the fries at the bottom of the bag for granted. One day, they may not be there (emotional).",negative,0.34288185834884644,Self-enhancing humor,0.23728026449680328,7449,0,,,
low_confidence,Wendy's,1514667895497887748,Thu Apr 14 18:12:22 +0000 2022,https://x.com/Wendys/status/1514667895497887748,"Dropped a Spicy Nugget under the front seat one time, but it’s gone now. Not because someone (not me) got out of the car and got down there and found it and ate it…because that definitely didn’t totally happen.",negative,0.4217367172241211,Non-humorous brand message,0.23799806833267212,2256,0,,,
low_confidence,Wendy's,1233563046875926528,Sat Feb 29 01:22:03 +0000 2020,https://x.com/Wendys/status/1233563046875926528,That’s why we’re sliding into first place.,positive,0.5426881313323975,Non-humorous brand message,0.2380264699459076,4287,0,,,
low_confidence,Wendy's,1785674044190175475,Wed May 01 14:14:03 +0000 2024,https://x.com/Wendys/status/1785674044190175475,McDonald’s announced plans to create their largest burger ever https://t.co/IMnQErb8sy,positive,0.414610356092453,Non-humorous brand message,0.23809151351451874,20657,0,,,
low_confidence,Wendy's,1198330462122512384,Sat Nov 23 20:00:20 +0000 2019,https://x.com/Wendys/status/1198330462122512384,Two booby trap suits fresh never frozen. Watch a new episode of #RickAndMorty Sundays at 11:30p. @wendys #ad https://t.co/hh9kJMQN5U,negative,0.5577868223190308,Self-enhancing humor,0.23858247697353363,15870,0,,,
low_confidence,Wendy's,1260238918638854147,Tue May 12 16:02:26 +0000 2020,https://x.com/Wendys/status/1260238918638854147,"If you get two 10-piece Spicy Nuggets in your 2 for $5, doesn't that make it a 20 for $5?",positive,0.3998776376247406,Self-enhancing humor,0.23872525990009308,9154,0,,,
low_confidence,Wendy's,1810007794310840603,Sun Jul 07 17:47:41 +0000 2024,https://x.com/Wendys/status/1810007794310840603,Whenever i need new tires i just pull up to a pit crew during a nascar race @NASCARChicago,positive,0.46582305431365967,Non-humorous brand message,0.24026890099048615,775,0,,,
low_confidence,Wendy's,1258112312055119883,Wed May 06 19:12:04 +0000 2020,https://x.com/Wendys/status/1258112312055119883,Another round of Cyber Search is in the bag. Tomorrow we’re gonna raise the bar again. Four codes worth $250 each. Think you can win? https://t.co/H9bM7rWONS,negative,0.5560060739517212,Self-enhancing humor,0.24166136980056763,506,0,,,
