company_name,ticker,cik,fiscal_year,filing_date,total_assets,total_liabilities,market_cap,shares_outstanding,stock_price_fiscal_year_end,tobins_q,tobins_q_formula_used,data_available_flag,missing_component_reason
Amazon,AMZN,1018724,2023,2024-02-02,,,,,,,,false,total_assets; total_liabilities; market_cap; stock_price_fiscal_year_end; shares_outstanding
Amazon,AMZN,1018724,2024,2025-02-07,,,,,,,,false,total_assets; total_liabilities; market_cap; stock_price_fiscal_year_end; shares_outstanding
Amazon,AMZN,1018724,2025,2026-02-06,,,,,,,,false,total_assets; total_liabilities; market_cap; stock_price_fiscal_year_end; shares_outstanding
Walmart,WMT,104169,2023,2023-03-17,,,,,,,,false,total_assets; total_liabilities; market_cap; stock_price_fiscal_year_end; shares_outstanding
Walmart,WMT,104169,2024,2024-03-15,,,,,,,,false,total_assets; total_liabilities; market_cap; stock_price_fiscal_year_end; shares_outstanding
Walmart,WMT,104169,2025,2025-03-14,,,,,,,,false,total_assets; total_liabilities; market_cap; stock_price_fiscal_year_end; shares_outstanding
UnitedHealth Group,UNH,731766,2023,2024-02-28,,,,,,,,false,total_assets; total_liabilities; market_cap; stock_price_fiscal_year_end; shares_outstanding
UnitedHealth Group,UNH,731766,2024,2025-02-27,,,,,,,,false,total_assets; total_liabilities; market_cap; stock_price_fiscal_year_end; shares_outstanding
UnitedHealth Group,UNH,731766,2025,2026-03-02,,,,,,,,false,total_assets; total_liabilities; market_cap; stock_price_fiscal_year_end; shares_outstanding
Apple,AAPL,320193,2023,2023-11-03,,,,,,,,false,total_assets; total_liabilities; market_cap; stock_price_fiscal_year_end; shares_outstanding
Apple,AAPL,320193,2024,2024-11-01,,,,,,,,false,total_assets; total_liabilities; market_cap; stock_price_fiscal_year_end; shares_outstanding
Apple,AAPL,320193,2025,2025-10-31,,,,,,,,false,total_assets; total_liabilities; market_cap; stock_price_fiscal_year_end; shares_outstanding
Alphabet,GOOGL,1652044,2023,2024-01-31,,,,,,,,false,total_assets; total_liabilities; market_cap; stock_price_fiscal_year_end; shares_outstanding
