표본_층화,코더1,코더2,코더3,합계
classifier_disagreement_b2,60,71,69,200
firm_balanced_sample_b2,26,40,31,97
high_engagement_posts_b2,40,53,57,150
humor_presence_uncertain_b2,63,58,79,200
low_engagement_posts_b2,39,30,31,100
random_fortune_sample_b2,181,132,140,453
type_uncertain_b2,29,40,31,100
wendys_transfer_aggressive_b2,62,76,62,200
