model_id,architecture,eval_scope,eval_mode,n_rows,humor_count,non_humor_count,auc,f1,precision,recall,accuracy,candidate_status,leakage_flag
model_a_batch1_only,word_char_comb__lr_liblin_C01,all_training_rows,oof_stratified_5fold_cv,1482,648,834,0.7808,0.6767,0.6598,0.6944,0.7099,retain_model_a_candidate,WARN
model_c_batch1_plus_all_wendys,word_char_comb__lr_liblin_C01,all_training_rows,oof_stratified_5fold_cv,2147,994,1153,0.7607,0.6804,0.6654,0.6962,0.6973,retain_model_a_candidate,WARN
