model_id,architecture,eval_scope,eval_mode,n_rows,humor_count,non_humor_count,auc,f1,precision,recall,accuracy
model_a_batch1_only,word_char_comb__lr_liblin_C01,batch1_fortune100,oof_stratified_5fold_cv_source_subset,1482,648,834,0.7808,0.6767,0.6598,0.6944,0.7099
model_c_batch1_plus_all_wendys,word_char_comb__lr_liblin_C01,batch1_fortune100,oof_stratified_5fold_cv_source_subset,1482,648,834,0.7677,0.64,0.6957,0.5926,0.7085
model_c_batch1_plus_all_wendys,word_char_comb__lr_liblin_C01,wendys_all_human,oof_stratified_5fold_cv_source_subset,665,346,319,0.7544,0.7386,0.6311,0.8902,0.6722
