dv,scale,n_humor,n_nonhumor,mean_humor,mean_nonhumor,diff_mean,sd_humor,sd_nonhumor,median_humor,median_nonhumor,t_stat,p_value,sig,cohens_d,effect_size_interp
engagement_total,raw,37,31,41079.6216,9548.1613,31531.4603,152163.6320,24309.3641,8117.0000,1545.0000,1.2417,0.221919,n.s.,0.2776,작음 (small)
log1p_engagement_total,log1p,37,31,8.9855,7.9210,1.0645,1.5935,1.4797,9.0018,7.3434,2.8525,0.005803,**,0.6900,중간 (medium)
engagement_fav_rt,raw,37,31,39398.5135,9097.2581,30301.2554,148616.2574,23780.4181,7513.0000,1455.0000,1.2217,0.229315,n.s.,0.2732,작음 (small)
log1p_engagement_fav_rt,log1p,37,31,8.8873,7.8277,1.0596,1.6049,1.4985,8.9245,7.2834,2.8114,0.006508,**,0.6804,중간 (medium)
favorite_count,raw,37,31,35190.4324,8403.6774,26786.7550,130143.8202,21676.8468,6847.0000,1430.0000,1.2318,0.225536,n.s.,0.2755,작음 (small)
log1p_favorite_count,log1p,37,31,8.8166,7.7606,1.0559,1.5920,1.4961,8.8317,7.2661,2.8151,0.006445,**,0.6816,중간 (medium)
retweet_count,raw,37,31,4208.0811,693.5806,3514.5004,18511.0923,2148.2741,429.0000,103.0000,1.1457,0.259247,n.s.,0.2556,작음 (small)
log1p_retweet_count,log1p,37,31,6.0698,4.9670,1.1028,1.8304,1.5990,6.0638,4.6444,2.6511,0.010038,*,0.6378,중간 (medium)
reply_count,raw,37,31,791.8649,320.2903,471.5745,1402.7738,603.1631,219.0000,170.0000,1.8508,0.070027,†,0.4237,작음 (small)
log1p_reply_count,log1p,37,31,5.5801,4.9012,0.6789,1.5614,1.4269,5.3936,5.1417,1.8715,0.065742,†,0.4520,작음 (small)
quote_count,raw,37,31,736.4324,102.2258,634.2066,2314.0305,200.6087,50.0000,29.0000,1.6597,0.105515,n.s.,0.3699,작음 (small)
log1p_quote_count,log1p,37,31,3.9628,3.2688,0.6940,2.3812,1.8256,3.9318,3.4012,1.3591,0.178765,n.s.,0.3233,작음 (small)
bookmark_count,raw,37,31,152.8108,28.3871,124.4237,578.1907,75.6755,22.0000,9.0000,1.2958,0.202970,n.s.,0.2893,작음 (small)
log1p_bookmark_count,log1p,37,31,3.1957,2.2209,0.9748,1.7923,1.4959,3.1355,2.3026,2.4446,0.017180,*,0.5858,중간 (medium)
