company_name,source_dataset,source_x_handle,total_posts,mean_humor_probability,humor_rate_t40,humor_rate_t50,humor_rate_t60,n_humor_t50,n_non_humor_t50,missing_text_posts
HP,fortune100_raw_append,@hp,2,0.494103,1.0,0.0,0.0,0,2,0
Home Depot,fortune100,@HDCares,821,0.40823,0.431181,0.192448,0.010962,158,663,0
Home Depot,fortune100,@homedepot,571,0.512091,0.963222,0.567426,0.085814,324,247,0
Home Depot,fortune100_raw_append,@homedepot,5,0.557288,1.0,1.0,0.0,5,0,0
Humana,fortune100,@humana,758,0.429311,0.637203,0.154354,0.009235,117,641,0
IBM,fortune100,@ibm,541,0.479345,0.911275,0.340111,0.044362,184,357,0
IBM,fortune100_raw_append,@ibm,5,0.537106,1.0,0.8,0.2,4,1,0
Ingram Micro Holding,fortune100,@IngramMicroInc,931,0.507136,0.975295,0.54565,0.051557,508,423,0
Ingram Micro Holding,fortune100_raw_append,@IngramMicroInc,4,0.512406,1.0,0.5,0.0,2,2,0
Intel,fortune100,@intel,287,0.46822,0.874564,0.289199,0.027875,83,204,0
Intel,fortune100_raw_append,@intel,4,0.480571,0.75,0.5,0.0,2,2,0
JPMorgan Chase,fortune100,@jpmorgan,835,0.449652,0.820359,0.177246,0.013174,148,687,0
JPMorgan Chase,fortune100_raw_append,@jpmorgan,4,0.406567,0.75,0.0,0.0,0,4,0
Johnson & Johnson,fortune100,@JNJNews,760,0.428375,0.697368,0.102632,0.002632,78,682,0
Johnson & Johnson,fortune100_raw_append,@JNJNews,1,0.344255,0.0,0.0,0.0,0,1,0
Kroger,fortune100,@kroger,888,0.53793,0.976351,0.762387,0.161036,677,211,0
Liberty Mutual Insurance Group,fortune100,@LibertyMutual,1018,0.540434,0.997053,0.820236,0.117878,835,183,0
Lockheed Martin,fortune100,@lockheedmartin,861,0.479083,0.953542,0.317073,0.00813,273,588,0
Lockheed Martin,fortune100_raw_append,@lockheedmartin,6,0.449421,1.0,0.166667,0.0,1,5,0
Lowe's,fortune100,@lowes,908,0.52186,0.97467,0.624449,0.129956,567,341,0
Lowe's,fortune100_raw_append,@lowes,1,0.544951,1.0,1.0,0.0,1,0,0
Marathon Petroleum,fortune100,@MarathonPetroCo,377,0.461717,0.904509,0.217507,0.013263,82,295,0
Marathon Petroleum,fortune100_raw_append,@MarathonPetroCo,2,0.421679,1.0,0.0,0.0,0,2,0
Massachusetts Mutual Life,fortune100,@massmutual,859,0.485226,0.883586,0.426077,0.044237,366,493,0
McKesson,fortune100,@mckesson,840,0.405613,0.505952,0.060714,0.002381,51,789,0
Merck,fortune100,@merck,507,0.400999,0.441815,0.092702,0.0,47,460,0
MetLife,fortune100,@metlife,779,0.444318,0.770218,0.168164,0.008986,131,648,0
Meta Platforms,fortune100,@Meta,151,0.495997,0.993377,0.490066,0.013245,74,77,0
Microsoft,fortune100,@microsoft,666,0.485896,0.930931,0.405405,0.015015,270,396,0
Microsoft,fortune100_raw_append,@microsoft,4,0.477979,0.75,0.25,0.0,1,3,0
MoonPie,moonpie_legacy,MoonPie,930,0.563732,0.997849,0.882796,0.269892,821,109,0
Morgan Stanley,fortune100,@morganstanley,846,0.430424,0.6513,0.117021,0.008274,99,747,0
Morgan Stanley,fortune100_raw_append,@morganstanley,4,0.405985,0.75,0.0,0.0,0,4,0
Nationwide,fortune100,@nationwide,1149,0.526767,0.986075,0.711923,0.072237,818,331,0
New York Life Insurance,fortune100,@NewYorkLife,456,0.500624,0.967105,0.510965,0.048246,233,223,0
Nike,fortune100,@nike,192,0.543723,1.0,0.838542,0.083333,161,31,0
Nvidia,fortune100,@nvidia,1117,0.457057,0.844226,0.218442,0.005372,244,873,0
Nvidia,fortune100_raw_append,@nvidia,15,0.432538,0.8,0.0,0.0,0,15,0
Oracle,fortune100,@oracle,909,0.453214,0.80088,0.218922,0.009901,199,710,0
Oracle,fortune100_raw_append,@oracle,4,0.387325,0.25,0.0,0.0,0,4,0
PepsiCo,fortune100,@pepsico,817,0.488784,0.905753,0.403917,0.079559,330,487,0
Performance Food Group,fortune100,@PFGCareers,3,0.494462,1.0,0.333333,0.0,1,2,0
Pfizer,fortune100,@pfizer,382,0.442199,0.751309,0.17801,0.005236,68,314,0
Pfizer,fortune100_raw_append,@pfizer,1,0.381242,0.0,0.0,0.0,0,1,0
Phillips 66,fortune100,@Phillips66co,684,0.450116,0.807018,0.223684,0.005848,153,531,0
Procter & Gamble,fortune100,@ProcterGamble,268,0.462968,0.906716,0.223881,0.011194,60,208,0
Progressive,fortune100,@progressive,170,0.541945,1.0,0.758824,0.129412,129,41,0
Prudential Financial,fortune100,@Prudential,874,0.469247,0.889016,0.29405,0.020595,257,617,0
Publix Super Markets,fortune100,@Publix,851,0.559226,0.976498,0.782609,0.340776,666,185,0
Publix Super Markets,fortune100_raw_append,@Publix,1,0.548863,1.0,1.0,0.0,1,0,0
RTX,fortune100,@RTX_News,865,0.439396,0.827746,0.093642,0.001156,81,784,0
State Farm Insurance,fortune100,@StateFarm,147,0.54148,1.0,0.85034,0.102041,125,22,0
State Farm Insurance,fortune100_raw_append,@StateFarm,1,0.576703,1.0,1.0,0.0,1,0,0
StoneX Group,fortune100,@StoneX_Official,848,0.444335,0.865566,0.087264,0.0,74,774,0
StoneX Group,fortune100_raw_append,@StoneX_Official,4,0.420772,0.75,0.0,0.0,0,4,0
Sysco,fortune100,@sysco,863,0.484009,0.931634,0.402086,0.01854,347,516,0
TD Synnex,fortune100,@tdsynnex,488,0.48463,0.938525,0.366803,0.028689,179,309,0
TIAA,fortune100,@tiaa,217,0.457969,0.861751,0.230415,0.023041,50,167,0
TJX,fortune100,@tjmaxx,909,0.501999,0.89549,0.547855,0.064906,498,411,0
Target,fortune100,@target,595,0.550599,0.989916,0.830252,0.188235,494,101,0
Tesla,fortune100,@tesla,711,0.538987,0.990155,0.786217,0.133615,559,152,0
Tesla,fortune100_raw_append,@tesla,10,0.572853,1.0,0.9,0.3,9,1,0
Travelers,fortune100,@travelers,835,0.463014,0.817964,0.305389,0.020359,255,580,0
Tyson Foods,fortune100,@tysonfoods,1081,0.482601,0.93802,0.362627,0.026827,392,689,0
Tyson Foods,fortune100_raw_append,@tysonfoods,1,0.448019,1.0,0.0,0.0,0,1,0
UPS,fortune100,@ups,200,0.518147,0.995,0.66,0.06,132,68,0
UPS,fortune100_raw_append,@ups,2,0.548544,1.0,1.0,0.0,2,0,0
USAA,fortune100,@usaa,899,0.494504,0.972191,0.440489,0.025584,396,503,0
Uber Technologies,fortune100,@Uber,952,0.528586,0.995798,0.720588,0.087185,686,266,0
Uber Technologies,fortune100_raw_append,@Uber,8,0.537843,1.0,0.875,0.125,7,1,0
United Airlines Holdings,fortune100,@united,292,0.535136,0.993151,0.732877,0.140411,214,78,0
United Airlines Holdings,fortune100_raw_append,@united,2,0.539844,1.0,0.5,0.5,1,1,0
UnitedHealth Group,fortune100,@UnitedHealthGrp,155,0.427681,0.670968,0.096774,0.0,15,140,0
Valero Energy,fortune100,@valeroenergy,186,0.509237,0.989247,0.586022,0.026882,109,77,0
Verizon Communications,fortune100,@Verizon,43,0.465779,0.930233,0.325581,0.0,14,29,0
Verizon Communications,fortune100_raw_append,@Verizon,2,0.492669,1.0,0.0,0.0,0,2,0
Walmart,fortune100,@walmart,842,0.544902,0.996437,0.776722,0.163895,654,188,0
Walt Disney,fortune100,@Disney,1353,0.543343,0.999261,0.847746,0.101996,1147,206,0
Walt Disney,fortune100_raw_append,@Disney,6,0.566038,1.0,1.0,0.0,6,0,0
Wells Fargo,fortune100,@wellsfargo,256,0.503973,0.953125,0.492188,0.097656,126,130,0
Wendy's,wendys_legacy,Wendys,977,0.55415,0.997953,0.863869,0.190379,844,133,0
