fortune_rank,company_name,normalized_company_name,raw_folder,posts_csv_exists,posts_csv_non_empty,post_count,collection_status,collection_error_type,collection_error_message,attempted,official_x_handle,final_manual_account_status,final_manual_scrape_eligible
29,Phillips 66,phillips_66,data/raw/fortune_x_2025_ranked/029_phillips_66,true,true,684,partial_success,collector_failed,"exception occurred:  Traceback (most recent call last):   File ""/home/runner/work/x_scrapper/x_scrapper/scrape_x.py"", line 20, in <module>     asyncio.run(scrape_profile())   File ""/opt/hostedtoolcache/Python/3.11.15/x64/lib/python3.11/asyncio/runners.py"", line 190, in run     return runner.run(main)            ^^^^^^^^^^^^^^^^   File ""/opt/hostedtoolcache/Python/3.11.15/x64/lib/python3.11/asyncio/runners.py"", line 118, in run     return self._loop.run_until_complete(task)            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^   File ""/opt/hostedtoolcache/Python/3.11.15/x64/lib/python3.11/asyncio/base_events.py"", line 654, in run_until_complete     return future.result()            ^^^^^^^^^^^^^^^   File ""/home/runner/work/x_scrapper/x_scrapper/src/x_scrapper/collection/x_scraper.py"", line 314, in scrape_profile     raise RuntimeError( RuntimeError: X profile did not render tweets. url=https://x.com/phillips66, title=Phillips 66 (@Phillips66) / X. 쿠키가 만료됐거나 GitHub Actions 접속이 X에서 차단됐을 수 있습니다. ",true,@phillips66,confirmed_candidate_official,true
30,Marathon Petroleum,marathon_petroleum,data/raw/fortune_x_2025_ranked/030_marathon_petroleum,true,true,377,success,,,true,@MarathonPetroCo,candidate_rejected_alternate_found,true
31,StoneX Group,stonex_group,data/raw/fortune_x_2025_ranked/031_stonex_group,true,true,848,success,,,true,@StoneX_Official,candidate_rejected_alternate_found,true
32,State Farm Insurance,state_farm_insurance,data/raw/fortune_x_2025_ranked/032_state_farm_insurance,true,true,147,success,,,true,@StateFarm,candidate_rejected_alternate_found,true
33,Freddie Mac,freddie_mac,data/raw/fortune_x_2025_ranked/033_freddie_mac,true,true,216,success,,,true,@FreddieMac,candidate_rejected_alternate_found,true
34,Humana,humana,data/raw/fortune_x_2025_ranked/034_humana,true,true,758,success,,,true,@humana,confirmed_candidate_official,true
35,AT&T,at_t,data/raw/fortune_x_2025_ranked/035_at_t,true,true,934,success,,,true,@ATT,candidate_rejected_alternate_found,true
36,Goldman Sachs Group,goldman_sachs_group,data/raw/fortune_x_2025_ranked/036_goldman_sachs_group,true,true,1012,success,,,true,@GoldmanSachs,candidate_rejected_alternate_found,true
37,Comcast,comcast,data/raw/fortune_x_2025_ranked/037_comcast,true,true,1096,success,,,true,@comcast,confirmed_candidate_official,true
38,Wells Fargo,wells_fargo,data/raw/fortune_x_2025_ranked/038_wells_fargo,true,true,256,success,,,true,@wellsfargo,confirmed_candidate_official,true
39,Morgan Stanley,morgan_stanley,data/raw/fortune_x_2025_ranked/039_morgan_stanley,true,true,846,success,,,true,@morganstanley,confirmed_candidate_official,true
40,Valero Energy,valero_energy,data/raw/fortune_x_2025_ranked/040_valero_energy,true,true,186,success,,,true,@valeroenergy,confirmed_candidate_official,true
41,Dell Technologies,dell_technologies,data/raw/fortune_x_2025_ranked/041_dell_technologies,true,true,726,success,,,true,@Dell,candidate_rejected_alternate_found,true
42,Target,target,data/raw/fortune_x_2025_ranked/042_target,true,true,595,success,,,true,@target,confirmed_candidate_official,true
43,Tesla,tesla,data/raw/fortune_x_2025_ranked/043_tesla,true,true,711,success,,,true,@tesla,confirmed_candidate_official,true
44,Walt Disney,walt_disney,data/raw/fortune_x_2025_ranked/044_walt_disney,true,true,1353,success,,,true,@Disney,candidate_rejected_alternate_found,true
45,Johnson & Johnson,johnson_johnson,data/raw/fortune_x_2025_ranked/045_johnson_johnson,true,true,766,success,,,true,@JNJNews,candidate_rejected_alternate_found,true
46,PepsiCo,pepsico,data/raw/fortune_x_2025_ranked/046_pepsico,true,true,817,success,,,true,@pepsico,confirmed_candidate_official,true
47,Boeing,boeing,data/raw/fortune_x_2025_ranked/047_boeing,true,true,969,success,,,true,@boeing,confirmed_candidate_official,true
48,UPS,ups,data/raw/fortune_x_2025_ranked/048_ups,true,true,200,success,,,true,@ups,confirmed_candidate_official,true
49,RTX,rtx,data/raw/fortune_x_2025_ranked/049_rtx,true,true,866,success,,,true,@RTX_News,candidate_rejected_alternate_found,true
50,FedEx,fedex,data/raw/fortune_x_2025_ranked/050_fedex,true,true,882,success,,,true,@fedex,confirmed_candidate_official,true
