dataset,column,row_count,missing_count,missing_rate
fortune100_post_master,fortune_rank,65245,0,0.0
fortune100_post_master,company_name,65245,0,0.0
fortune100_post_master,normalized_company_name,65245,0,0.0
fortune100_post_master,source_x_handle,65245,0,0.0
fortune100_post_master,source_x_url,65245,0,0.0
fortune100_post_master,account_role,65245,0,0.0
fortune100_post_master,account_index,65245,0,0.0
fortune100_post_master,tweet_id,65245,0,0.0
fortune100_post_master,tweet_url,65245,0,0.0
fortune100_post_master,created_at,65245,0,0.0
fortune100_post_master,text,65245,0,0.0
fortune100_post_master,reply_count,65245,0,0.0
fortune100_post_master,repost_count,65245,0,0.0
fortune100_post_master,retweet_count,65245,0,0.0
fortune100_post_master,like_count,65245,0,0.0
fortune100_post_master,favorite_count,65245,0,0.0
fortune100_post_master,quote_count,65245,0,0.0
fortune100_post_master,view_count_available,65245,0,0.0
fortune100_post_master,total_engagement,65245,0,0.0
fortune100_post_master,log_total_engagement,65245,0,0.0
fortune100_post_master,text_length,65245,0,0.0
fortune100_post_master,hashtag_count,65245,0,0.0
fortune100_post_master,mention_count,65245,0,0.0
fortune100_post_master,collection_method,65245,0,0.0
fortune100_post_master,max_posts_cap,65245,0,0.0
fortune100_post_master,source_folder,65245,0,0.0
